,From,To,Type,Pair,Class.,Mechanism (with citations),Rationale for Classification,Process,process
1,Temperature,Sea-ice concentration,N,1,Certain,"Increasing temperature reduces heat exchange from ocean to atmosphere, and reduces sea ice formation",NA,Sea ice,NA
2,Sea-ice concentration,MLD,N,2,Certain,"Sea ice cover shields ocean from wind stress, decreasing MLD ",NA,Sea ice,NA
3,Wind stress,MLD,P,3,Certain,"Increased wind causes a deepening of the MLD (Dewar & Flierl, 1987, Youngs et al., 2015)",NA,Primary production,NA
4,MLD,Light,N,4,Certain,"Increased MLD reduces light availability to phytoplankton circulated throughout the mixed layer (Gran and Braarud, 1935)",NA,Primary production,NA
5,Wind stress,Sea-ice convergence,P,5,Certain,Wind stress causes Sea-ice convergence (dynamic thickening),NA,Sea ice,NA
6,Sea-ice convergence,Sea-ice thickness,P,6,Certain,Dynamic thickening increases thickness,NA,Sea ice,NA
7,Sea-ice thickness,Light,N,7,Certain,thicker ice will limit PAR / Irradiance is limited by extensive ice cover.,"In comparison to the effects of Sea-ice convergence creating terraces, the effects of thickness in limiting light may be negligible (taken from Sara L.’s comment)",Sea ice,Light limitation
8,Sea-ice algae,Small copepods,P,8,Certain,Some Antarctic copepods may feed on sea Sea-ice algae during winter (Bathmann et al. 1993; Drits et al. 1993; Schnack-Schiel 2001). Copepods are regarded as dominant grazers (Atkinson et al. 1996; Bernard and Froneman 2003; Pakhomov and Froneman 2004),NA,Sea ice,NA
9,Small copepods,Sea-ice algae,N,8,Certain,Some Antarctic copepods may feed on sea Sea-ice algae during winter (Bathmann et al. 1993; Drits et al. 1993; Schnack-Schiel 2001). Copepods are regarded as dominant grazers (Atkinson et al. 1996; Bernard and Froneman 2003; Pakhomov and Froneman 2004),NA,Sea ice,NA
10,Growth,Small copepods,N,9,Certain,"Larvae feeding on smaller copepods (heterotrophic diet) as part of opportunistic feeding behaviour (Meyer et al 2017, Meyer et al 2009, Daly 2004, Huntley et al 1994). Copepods are a consistent part of krill diet (Schmidt et al. 2014)",NA,Alternate food,NA
11,Small copepods,Growth,P,9,Certain,"Larvae feeding on smaller copepods (heterotrophic diet) as part of opportunistic feeding behaviour (Meyer et al 2017, Meyer et al 2009, Daly 2004, Huntley et al 1994). Copepods are a consistent part of krill diet (Schmidt et al. 2014)",NA,Alternate food,NA
