"","Negative","No Change","Positive","Node","Region","Climate Driver","Press","Scenario","Net Prediction"
"1",53.3,0,46.7,"Growth","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-6.6
"2",84.28,0,15.72,"Survival","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-68.56
"3",50.56,0,49.44,"DMS","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-1.12
"4",0,100,0,"Ice terraces","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"5",47.66,0,52.34,"Large pelagic algae","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",4.67999999999999
"6",10.58,0,89.42,"Light","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",78.84
"7",31.6,0,68.4,"Marine snow","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",36.8
"8",0,100,0,"MLD","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"9",100,0,0,"Nutrients","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-100
"10",50.12,0,49.88,"Other grazers (competition)","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-0.239999999999995
"11",46.28,0,53.72,"POM","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",7.44
"12",84.28,0,15.72,"Predation risk","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-68.56
"13",48.42,0,51.58,"Sea-ice algae","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",3.16
"14",0,100,0,"Sea-ice concentration","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"15",0,100,0,"Sea-ice convergence","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"16",0,100,0,"Sea-ice thickness","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"17",43.64,0,56.36,"Small copepods","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",12.72
"18",52.44,0,47.56,"Small pelagic algae","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-4.88
"19",0,100,0,"Snow","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"20",0,0,100,"Depth","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",100
"21",100,0,0,"Latitude","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-100
"22",100,0,0,"Autumn primary production","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-100
"23",0,100,0,"Temperature","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"24",0,100,0,"Wind stress","Open ocean","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"25",63.34,0,36.66,"Growth","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-26.68
"26",63.34,0,36.66,"Survival","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-26.68
"27",56.1,0,43.9,"DMS","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-12.2
"28",0,0.02,99.98,"Ice terraces","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",99.98
"29",39.18,0,60.82,"Large pelagic algae","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",21.64
"30",61.32,0,38.68,"Light","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-22.64
"31",46.3,0,53.7,"Marine snow","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",7.4
"32",100,0,0,"MLD","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-100
"33",100,0,0,"Nutrients","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-100
"34",71.16,0,28.84,"Other grazers (competition)","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-42.32
"35",73.68,0,26.32,"POM","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-47.36
"36",63.34,0,36.66,"Predation risk","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-26.68
"37",77.32,0,22.68,"Sea-ice algae","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-54.64
"38",0,0,100,"Sea-ice concentration","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",100
"39",0,0,100,"Sea-ice convergence","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",100
"40",0,0,100,"Sea-ice thickness","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",100
"41",68.1,0,31.9,"Small copepods","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-36.2
"42",64.1,0,35.9,"Small pelagic algae","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-28.2
"43",0,100,0,"Snow","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",0
"44",0,0,100,"Depth","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",100
"45",100,0,0,"Latitude","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-100
"46",0,100,0,"Autumn primary production","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",0
"47",100,0,0,"Temperature","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",-100
"48",0,100,0,"Wind stress","Open ocean","Temperature","Negative","Future: climate driver sensitivity analysis",0
"49",46.7,0,53.3,"Growth","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",6.6
"50",46.7,0,53.3,"Survival","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",6.6
"51",45.5,0,54.5,"DMS","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",9.00000000000001
"52",100,0,0,"Ice terraces","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"53",56.3,0,43.7,"Large pelagic algae","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",-12.6
"54",6.24,0,93.76,"Light","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",87.52
"55",28.82,0,71.18,"Marine snow","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",42.36
"56",100,0,0,"MLD","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"57",100,0,0,"Nutrients","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"58",45.72,0,54.28,"Other grazers (competition)","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",8.56
"59",49.06,0,50.94,"POM","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",1.88
"60",46.7,0,53.3,"Predation risk","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",6.6
"61",34.36,0,65.64,"Sea-ice algae","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",31.28
"62",0,100,0,"Sea-ice concentration","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"63",100,0,0,"Sea-ice convergence","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"64",100,0,0,"Sea-ice thickness","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"65",35,0,65,"Small copepods","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",30
"66",40.28,0,59.72,"Small pelagic algae","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",19.44
"67",0,100,0,"Snow","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"68",0,0,100,"Depth","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",100
"69",100,0,0,"Latitude","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"70",0,100,0,"Autumn primary production","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"71",0,100,0,"Temperature","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",0
"72",100,0,0,"Wind stress","Open ocean","Wind stress","Negative","Future: climate driver sensitivity analysis",-100
"73",69.64,0,30.36,"Growth","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-39.28
"74",31,0,69,"Survival","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",38
"75",33.82,0,66.18,"DMS","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",32.36
"76",0,100,0,"Ice terraces","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"77",33.64,0,66.36,"Large pelagic algae","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",32.72
"78",23.96,0,76.04,"Light","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",52.08
"79",15.86,0,84.14,"Marine snow","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",68.28
"80",0,100,0,"MLD","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"81",100,0,0,"Nutrients","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-100
"82",32.54,0,67.46,"Other grazers (competition)","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",34.92
"83",78.76,0,21.24,"POM","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-57.52
"84",31,0,69,"Predation risk","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",38
"85",57.88,0,42.12,"Sea-ice algae","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-15.76
"86",0,100,0,"Sea-ice concentration","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"87",0,100,0,"Sea-ice convergence","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"88",0,100,0,"Sea-ice thickness","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"89",37.62,0,62.38,"Small copepods","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",24.76
"90",51.76,0,48.24,"Small pelagic algae","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-3.52
"91",0,100,0,"Snow","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"92",0,0,100,"Depth","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",100
"93",100,0,0,"Latitude","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",-100
"94",0,0,100,"Autumn primary production","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",100
"95",0,100,0,"Temperature","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"96",0,100,0,"Wind stress","Open ocean","Autumn primary production","Positive","Future: climate driver sensitivity analysis",0
"97",47.26,0,52.74,"Growth","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",5.47999999999999
"98",47.26,0,52.74,"Survival","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",5.47999999999999
"99",38.2,0,61.8,"DMS","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",23.6
"100",99.98,0.02,0,"Ice terraces","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",-99.98
"101",52.04,0,47.96,"Large pelagic algae","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",-4.08
"102",17.72,0,82.28,"Light","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",64.56
"103",26.84,0,73.16,"Marine snow","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",46.32
"104",0,0,100,"MLD","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",100
"105",49.44,0,50.56,"Nutrients","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",1.12
"106",24.52,0,75.48,"Other grazers (competition)","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",50.96
"107",41.34,0,58.66,"POM","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",17.32
"108",47.26,0,52.74,"Predation risk","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",5.47999999999999
"109",26.66,0,73.34,"Sea-ice algae","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",46.68
"110",100,0,0,"Sea-ice concentration","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",-100
"111",100,0,0,"Sea-ice convergence","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",-100
"112",100,0,0,"Sea-ice thickness","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",-100
"113",26.46,0,73.54,"Small copepods","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",47.08
"114",37.74,0,62.26,"Small pelagic algae","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",24.52
"115",0,100,0,"Snow","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",0
"116",0,0,100,"Depth","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",100
"117",100,0,0,"Latitude","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",-100
"118",0,100,0,"Autumn primary production","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",0
"119",0,0,100,"Temperature","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",100
"120",0,100,0,"Wind stress","Open ocean","Temperature","Positive","Future: climate driver sensitivity analysis",0
"121",68.22,0,31.78,"Growth","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",-36.44
"122",68.22,0,31.78,"Survival","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",-36.44
"123",45.64,0,54.36,"DMS","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",8.72
"124",0,0,100,"Ice terraces","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"125",30.54,0,69.46,"Large pelagic algae","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",38.92
"126",70.28,0,29.72,"Light","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",-40.56
"127",36.62,0,63.38,"Marine snow","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",26.76
"128",0,0,100,"MLD","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"129",49.84,0,50.16,"Nutrients","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",0.32
"130",44.72,0,55.28,"Other grazers (competition)","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",10.56
"131",70.74,0,29.26,"POM","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",-41.48
"132",68.22,0,31.78,"Predation risk","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",-36.44
"133",72.12,0.02,27.86,"Sea-ice algae","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",-44.26
"134",0,100,0,"Sea-ice concentration","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"135",0,0,100,"Sea-ice convergence","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"136",0,0,100,"Sea-ice thickness","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"137",57.64,0,42.36,"Small copepods","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",-15.28
"138",65.04,0,34.96,"Small pelagic algae","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",-30.08
"139",0,100,0,"Snow","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"140",0,0,100,"Depth","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"141",100,0,0,"Latitude","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",-100
"142",0,100,0,"Autumn primary production","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"143",0,100,0,"Temperature","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",0
"144",0,0,100,"Wind stress","Open ocean","Wind stress","Positive","Future: climate driver sensitivity analysis",100
"145",30.34,0,69.66,"Growth","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",39.32
"146",69.66,0,30.34,"Survival","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-39.32
"147",66.06,0,33.94,"DMS","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-32.12
"148",0,100,0,"Glacial melt","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"149",0,100,0,"Ice terraces","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"150",66.76,0,33.24,"Large pelagic algae","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-33.52
"151",77.02,0,22.98,"Light","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-54.04
"152",85.2,0,14.8,"Marine snow","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-70.4
"153",0,100,0,"MLD","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"154",0,0,100,"Nutrients","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",100
"155",68.2,0,31.8,"Other grazers (competition)","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-36.4
"156",20.86,0,79.14,"POM","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",58.28
"157",69.66,0,30.34,"Predation risk","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-39.32
"158",42.18,0,57.82,"Sea-ice algae","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",15.64
"159",0,100,0,"Sea-ice concentration","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"160",0,100,0,"Sea-ice convergence","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"161",0,100,0,"Sea-ice thickness","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"162",62.26,0,37.74,"Small copepods","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-24.52
"163",48.96,0,51.04,"Small pelagic algae","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",2.08
"164",0,100,0,"Snow","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"165",100,0,0,"Depth","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-100
"166",0,0,100,"Latitude","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",100
"167",100,0,0,"Autumn primary production","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",-100
"168",0,100,0,"Temperature","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"169",0,100,0,"Wind stress","High-lat shelf","Autumn primary production","Negative","Future: climate driver sensitivity analysis",0
"170",38.9,0,61.1,"Growth","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",22.2
"171",29.26,0,70.74,"Survival","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",41.48
"172",50.72,0,49.28,"DMS","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-1.44
"173",100,0,0,"Glacial melt","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-100
"174",50.34,0,49.66,"Ice terraces","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-0.68
"175",45.94,0,54.06,"Large pelagic algae","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",8.12
"176",76.76,0,23.24,"Light","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-53.52
"177",64.98,0,35.02,"Marine snow","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-29.96
"178",28.94,0,71.06,"MLD","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",42.12
"179",15.02,0,84.98,"Nutrients","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",69.96
"180",61.2,0,38.8,"Other grazers (competition)","High-lat shelf","Temperature","Negative","Future: climate driver sensitivity analysis",-22.4
