"","Negative","No Change","Positive","Node","Region","Model","Experiment","Climate scenario","Net Prediction"
"1",55.46,0,44.54,"Growth","Open ocean","Evidenced","Future climate","A",-10.92
"2",38.96,0,61.04,"Survival","Open ocean","Evidenced","Future climate","A",22.08
"3",36.5,0,63.5,"DMS","Open ocean","Evidenced","Future climate","A",27
"4",50.36,0,49.64,"Ice terraces","Open ocean","Evidenced","Future climate","A",-0.720000000000006
"5",41.64,0,58.36,"Large pelagic algae","Open ocean","Evidenced","Future climate","A",16.72
"6",44.54,0,55.46,"Light","Open ocean","Evidenced","Future climate","A",10.92
"7",31.02,0,68.98,"Marine snow","Open ocean","Evidenced","Future climate","A",37.96
"8",0,0,100,"MLD","Open ocean","Evidenced","Future climate","A",100
"9",30.46,0,69.54,"Nutrients","Open ocean","Evidenced","Future climate","A",39.08
"10",25.48,0,74.52,"Other grazers (competition)","Open ocean","Evidenced","Future climate","A",49.04
"11",56.22,0,43.78,"POM","Open ocean","Evidenced","Future climate","A",-12.44
"12",38.96,0,61.04,"Predation risk","Open ocean","Evidenced","Future climate","A",22.08
"13",43.8,0,56.2,"Sea-ice algae","Open ocean","Evidenced","Future climate","A",12.4
"14",100,0,0,"Sea-ice concentration","Open ocean","Evidenced","Future climate","A",-100
"15",50.36,0,49.64,"Sea-ice convergence","Open ocean","Evidenced","Future climate","A",-0.720000000000006
"16",79.2,0,20.8,"Sea-ice thickness","Open ocean","Evidenced","Future climate","A",-58.4
"17",36.7,0,63.3,"Small copepods","Open ocean","Evidenced","Future climate","A",26.6
"18",46.26,0,53.74,"Small pelagic algae","Open ocean","Evidenced","Future climate","A",7.48
"19",0,100,0,"Snow","Open ocean","Evidenced","Future climate","A",0
"20",0,0,100,"Depth","Open ocean","Evidenced","Future climate","A",100
"21",100,0,0,"Latitude","Open ocean","Evidenced","Future climate","A",-100
"22",0,0,100,"Autumn primary production","Open ocean","Evidenced","Future climate","A",100
"23",0,0,100,"Temperature","Open ocean","Evidenced","Future climate","A",100
"24",0,0,100,"Wind stress","Open ocean","Evidenced","Future climate","A",100
