"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"1",61.4,0,38.6,"Growth","High-lat shelf","Future climate","A",1,0,"Certain"
"2",57.24,0,42.76,"Survival","High-lat shelf","Future climate","A",1,0,"Certain"
"3",60.2,0,39.8,"Growth","High-lat shelf","Future climate","A",1,1,"Autumn primary production -> Marine snow"
"4",56.22,0,43.78,"Survival","High-lat shelf","Future climate","A",1,1,"Autumn primary production -> Marine snow"
"5",57.44,0,42.56,"Growth","High-lat shelf","Future climate","A",1,2,"Autumn primary production -> Sea-ice algae"
"6",54.7,0,45.3,"Survival","High-lat shelf","Future climate","A",1,2,"Autumn primary production -> Sea-ice algae"
"7",53.38,0,46.62,"Growth","High-lat shelf","Future climate","A",1,3,"Glacial melt -> Nutrients"
"8",52.38,0,47.62,"Survival","High-lat shelf","Future climate","A",1,3,"Glacial melt -> Nutrients"
"9",56.54,0,43.46,"Growth","High-lat shelf","Future climate","A",1,4,"Ice terraces -* Predation risk"
"10",41.46,0,58.54,"Survival","High-lat shelf","Future climate","A",1,4,"Ice terraces -* Predation risk"
"11",55.78,0,44.22,"Growth","High-lat shelf","Future climate","A",1,5,"POM -* Small copepods"
"12",41.54,0,58.46,"Survival","High-lat shelf","Future climate","A",1,5,"POM -* Small copepods"
"13",53.64,0,46.36,"Growth","High-lat shelf","Future climate","A",1,6,"Small copepods -> POM"
"14",39.92,0,60.08,"Survival","High-lat shelf","Future climate","A",1,6,"Small copepods -> POM"
"15",61.24,0,38.76,"Growth","High-lat shelf","Future climate","A",2,0,"Certain"
"16",55.84,0,44.16,"Survival","High-lat shelf","Future climate","A",2,0,"Certain"
"17",62.86,0,37.14,"Growth","High-lat shelf","Future climate","A",2,1,"Autumn primary production -> Marine snow"
"18",57.96,0,42.04,"Survival","High-lat shelf","Future climate","A",2,1,"Autumn primary production -> Marine snow"
"19",57.16,0,42.84,"Growth","High-lat shelf","Future climate","A",2,2,"Autumn primary production -> Sea-ice algae"
"20",54.7,0,45.3,"Survival","High-lat shelf","Future climate","A",2,2,"Autumn primary production -> Sea-ice algae"
"21",54.78,0,45.22,"Growth","High-lat shelf","Future climate","A",2,3,"Glacial melt -> Nutrients"
"22",52.72,0,47.28,"Survival","High-lat shelf","Future climate","A",2,3,"Glacial melt -> Nutrients"
"23",57.16,0,42.84,"Growth","High-lat shelf","Future climate","A",2,4,"Ice terraces -* Predation risk"
"24",41.52,0,58.48,"Survival","High-lat shelf","Future climate","A",2,4,"Ice terraces -* Predation risk"
"25",55.3,0,44.7,"Growth","High-lat shelf","Future climate","A",2,5,"Small copepods -> POM"
"26",41.3,0,58.7,"Survival","High-lat shelf","Future climate","A",2,5,"Small copepods -> POM"
"27",55.32,0,44.68,"Growth","High-lat shelf","Future climate","A",2,6,"POM -* Small copepods"
"28",41.98,0,58.02,"Survival","High-lat shelf","Future climate","A",2,6,"POM -* Small copepods"
"29",60.52,0,39.48,"Growth","High-lat shelf","Future climate","A",3,0,"Certain"
"30",55.98,0,44.02,"Survival","High-lat shelf","Future climate","A",3,0,"Certain"
"31",60.78,0,39.22,"Growth","High-lat shelf","Future climate","A",3,1,"Autumn primary production -> Marine snow"
"32",56.46,0,43.54,"Survival","High-lat shelf","Future climate","A",3,1,"Autumn primary production -> Marine snow"
"33",57.96,0,42.04,"Growth","High-lat shelf","Future climate","A",3,2,"Autumn primary production -> Sea-ice algae"
"34",55.12,0,44.88,"Survival","High-lat shelf","Future climate","A",3,2,"Autumn primary production -> Sea-ice algae"
"35",54.4,0,45.6,"Growth","High-lat shelf","Future climate","A",3,3,"Glacial melt -> Nutrients"
"36",52.92,0,47.08,"Survival","High-lat shelf","Future climate","A",3,3,"Glacial melt -> Nutrients"
"37",52.82,0,47.18,"Growth","High-lat shelf","Future climate","A",3,4,"Small copepods -> POM"
"38",51.3,0,48.7,"Survival","High-lat shelf","Future climate","A",3,4,"Small copepods -> POM"
"39",54.2,0,45.8,"Growth","High-lat shelf","Future climate","A",3,5,"Ice terraces -* Predation risk"
"40",40.26,0,59.74,"Survival","High-lat shelf","Future climate","A",3,5,"Ice terraces -* Predation risk"
"41",53.82,0,46.18,"Growth","High-lat shelf","Future climate","A",3,6,"POM -* Small copepods"
"42",40.86,0,59.14,"Survival","High-lat shelf","Future climate","A",3,6,"POM -* Small copepods"
"43",61.68,0,38.32,"Growth","High-lat shelf","Future climate","A",4,0,"Certain"
"44",56.34,0,43.66,"Survival","High-lat shelf","Future climate","A",4,0,"Certain"
"45",60.84,0,39.16,"Growth","High-lat shelf","Future climate","A",4,1,"Autumn primary production -> Marine snow"
"46",55.58,0,44.42,"Survival","High-lat shelf","Future climate","A",4,1,"Autumn primary production -> Marine snow"
"47",57.44,0,42.56,"Growth","High-lat shelf","Future climate","A",4,2,"Autumn primary production -> Sea-ice algae"
"48",54.7,0.02,45.28,"Survival","High-lat shelf","Future climate","A",4,2,"Autumn primary production -> Sea-ice algae"
"49",57.98,0,42.02,"Growth","High-lat shelf","Future climate","A",4,3,"Small copepods -> POM"
"50",55.24,0,44.76,"Survival","High-lat shelf","Future climate","A",4,3,"Small copepods -> POM"
"51",53.7,0,46.3,"Growth","High-lat shelf","Future climate","A",4,4,"Glacial melt -> Nutrients"
"52",52.6,0,47.4,"Survival","High-lat shelf","Future climate","A",4,4,"Glacial melt -> Nutrients"
"53",54.24,0,45.76,"Growth","High-lat shelf","Future climate","A",4,5,"Ice terraces -* Predation risk"
"54",41.4,0,58.6,"Survival","High-lat shelf","Future climate","A",4,5,"Ice terraces -* Predation risk"
"55",54.12,0,45.88,"Growth","High-lat shelf","Future climate","A",4,6,"POM -* Small copepods"
"56",40.94,0,59.06,"Survival","High-lat shelf","Future climate","A",4,6,"POM -* Small copepods"
"57",60.42,0,39.58,"Growth","High-lat shelf","Future climate","A",5,0,"Certain"
"58",55.5,0,44.5,"Survival","High-lat shelf","Future climate","A",5,0,"Certain"
"59",60.84,0,39.16,"Growth","High-lat shelf","Future climate","A",5,1,"Autumn primary production -> Marine snow"
"60",56.46,0,43.54,"Survival","High-lat shelf","Future climate","A",5,1,"Autumn primary production -> Marine snow"
"61",60.86,0,39.14,"Growth","High-lat shelf","Future climate","A",5,2,"Small copepods -> POM"
"62",56.02,0,43.98,"Survival","High-lat shelf","Future climate","A",5,2,"Small copepods -> POM"
"63",56.2,0,43.8,"Growth","High-lat shelf","Future climate","A",5,3,"Autumn primary production -> Sea-ice algae"
"64",54.22,0,45.78,"Survival","High-lat shelf","Future climate","A",5,3,"Autumn primary production -> Sea-ice algae"
"65",52.62,0,47.38,"Growth","High-lat shelf","Future climate","A",5,4,"Glacial melt -> Nutrients"
"66",50.96,0,49.04,"Survival","High-lat shelf","Future climate","A",5,4,"Glacial melt -> Nutrients"
"67",55.72,0,44.28,"Growth","High-lat shelf","Future climate","A",5,5,"Ice terraces -* Predation risk"
"68",41.9,0,58.1,"Survival","High-lat shelf","Future climate","A",5,5,"Ice terraces -* Predation risk"
"69",53.94,0,46.06,"Growth","High-lat shelf","Future climate","A",5,6,"POM -* Small copepods"
"70",40.68,0,59.32,"Survival","High-lat shelf","Future climate","A",5,6,"POM -* Small copepods"
"71",61.78,0,38.22,"Growth","High-lat shelf","Future climate","A",6,0,"Certain"
"72",56.56,0,43.44,"Survival","High-lat shelf","Future climate","A",6,0,"Certain"
"73",60.5,0,39.5,"Growth","High-lat shelf","Future climate","A",6,1,"Small copepods -> POM"
"74",57.12,0,42.88,"Survival","High-lat shelf","Future climate","A",6,1,"Small copepods -> POM"
"75",61.32,0,38.68,"Growth","High-lat shelf","Future climate","A",6,2,"Autumn primary production -> Marine snow"
"76",57.48,0,42.52,"Survival","High-lat shelf","Future climate","A",6,2,"Autumn primary production -> Marine snow"
"77",56.3,0,43.7,"Growth","High-lat shelf","Future climate","A",6,3,"Autumn primary production -> Sea-ice algae"
"78",54.66,0.02,45.32,"Survival","High-lat shelf","Future climate","A",6,3,"Autumn primary production -> Sea-ice algae"
"79",53.76,0,46.24,"Growth","High-lat shelf","Future climate","A",6,4,"Glacial melt -> Nutrients"
"80",52.72,0,47.28,"Survival","High-lat shelf","Future climate","A",6,4,"Glacial melt -> Nutrients"
"81",54.08,0,45.92,"Growth","High-lat shelf","Future climate","A",6,5,"Ice terraces -* Predation risk"
"82",41.98,0,58.02,"Survival","High-lat shelf","Future climate","A",6,5,"Ice terraces -* Predation risk"
"83",55.54,0,44.46,"Growth","High-lat shelf","Future climate","A",6,6,"POM -* Small copepods"
"84",41.04,0,58.96,"Survival","High-lat shelf","Future climate","A",6,6,"POM -* Small copepods"
"85",61.54,0,38.46,"Growth","High-lat shelf","Future climate","A",7,0,"Certain"
"86",55.78,0,44.22,"Survival","High-lat shelf","Future climate","A",7,0,"Certain"
"87",61.36,0,38.64,"Growth","High-lat shelf","Future climate","A",7,1,"Small copepods -> POM"
