"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"1",55.54,0,44.46,"Growth","High-lat shelf","Future climate","B",1,0,"Certain"
"2",74.14,0,25.86,"Survival","High-lat shelf","Future climate","B",1,0,"Certain"
"3",54.8,0,45.2,"Growth","High-lat shelf","Future climate","B",1,1,"Autumn primary production -> Marine snow"
"4",72.28,0,27.72,"Survival","High-lat shelf","Future climate","B",1,1,"Autumn primary production -> Marine snow"
"5",58.76,0,41.24,"Growth","High-lat shelf","Future climate","B",1,2,"Autumn primary production -> Sea-ice algae"
"6",74.12,0,25.88,"Survival","High-lat shelf","Future climate","B",1,2,"Autumn primary production -> Sea-ice algae"
"7",57.02,0,42.98,"Growth","High-lat shelf","Future climate","B",1,3,"Glacial melt -> Nutrients"
"8",73.66,0,26.34,"Survival","High-lat shelf","Future climate","B",1,3,"Glacial melt -> Nutrients"
"9",59.08,0,40.92,"Growth","High-lat shelf","Future climate","B",1,4,"Ice terraces -* Predation risk"
"10",60.46,0,39.54,"Survival","High-lat shelf","Future climate","B",1,4,"Ice terraces -* Predation risk"
"11",58.6,0,41.4,"Growth","High-lat shelf","Future climate","B",1,5,"POM -* Small copepods"
"12",59.42,0,40.58,"Survival","High-lat shelf","Future climate","B",1,5,"POM -* Small copepods"
"13",59.28,0,40.72,"Growth","High-lat shelf","Future climate","B",1,6,"Small copepods -> POM"
"14",60.3,0,39.7,"Survival","High-lat shelf","Future climate","B",1,6,"Small copepods -> POM"
"15",55.98,0,44.02,"Growth","High-lat shelf","Future climate","B",2,0,"Certain"
"16",74.56,0,25.44,"Survival","High-lat shelf","Future climate","B",2,0,"Certain"
"17",54.46,0,45.54,"Growth","High-lat shelf","Future climate","B",2,1,"Autumn primary production -> Marine snow"
"18",72.28,0,27.72,"Survival","High-lat shelf","Future climate","B",2,1,"Autumn primary production -> Marine snow"
"19",57.76,0,42.24,"Growth","High-lat shelf","Future climate","B",2,2,"Autumn primary production -> Sea-ice algae"
"20",74.6,0,25.4,"Survival","High-lat shelf","Future climate","B",2,2,"Autumn primary production -> Sea-ice algae"
"21",56.82,0,43.18,"Growth","High-lat shelf","Future climate","B",2,3,"Glacial melt -> Nutrients"
"22",74.06,0,25.94,"Survival","High-lat shelf","Future climate","B",2,3,"Glacial melt -> Nutrients"
"23",59.96,0,40.04,"Growth","High-lat shelf","Future climate","B",2,4,"Ice terraces -* Predation risk"
"24",59.84,0,40.16,"Survival","High-lat shelf","Future climate","B",2,4,"Ice terraces -* Predation risk"
"25",57.88,0,42.12,"Growth","High-lat shelf","Future climate","B",2,5,"Small copepods -> POM"
"26",58.82,0,41.18,"Survival","High-lat shelf","Future climate","B",2,5,"Small copepods -> POM"
"27",59.68,0,40.32,"Growth","High-lat shelf","Future climate","B",2,6,"POM -* Small copepods"
"28",60.08,0,39.92,"Survival","High-lat shelf","Future climate","B",2,6,"POM -* Small copepods"
"29",57.14,0,42.86,"Growth","High-lat shelf","Future climate","B",3,0,"Certain"
"30",74.56,0,25.44,"Survival","High-lat shelf","Future climate","B",3,0,"Certain"
"31",56.42,0,43.58,"Growth","High-lat shelf","Future climate","B",3,1,"Autumn primary production -> Marine snow"
"32",73.28,0,26.72,"Survival","High-lat shelf","Future climate","B",3,1,"Autumn primary production -> Marine snow"
"33",58.94,0,41.06,"Growth","High-lat shelf","Future climate","B",3,2,"Autumn primary production -> Sea-ice algae"
"34",74.98,0,25.02,"Survival","High-lat shelf","Future climate","B",3,2,"Autumn primary production -> Sea-ice algae"
"35",57.04,0,42.96,"Growth","High-lat shelf","Future climate","B",3,3,"Glacial melt -> Nutrients"
"36",73.64,0,26.36,"Survival","High-lat shelf","Future climate","B",3,3,"Glacial melt -> Nutrients"
"37",57.12,0,42.88,"Growth","High-lat shelf","Future climate","B",3,4,"Small copepods -> POM"
"38",73.3,0,26.7,"Survival","High-lat shelf","Future climate","B",3,4,"Small copepods -> POM"
"39",59.48,0,40.52,"Growth","High-lat shelf","Future climate","B",3,5,"Ice terraces -* Predation risk"
"40",59.5,0,40.5,"Survival","High-lat shelf","Future climate","B",3,5,"Ice terraces -* Predation risk"
"41",59.92,0,40.08,"Growth","High-lat shelf","Future climate","B",3,6,"POM -* Small copepods"
"42",60.68,0,39.32,"Survival","High-lat shelf","Future climate","B",3,6,"POM -* Small copepods"
"43",55.24,0,44.76,"Growth","High-lat shelf","Future climate","B",4,0,"Certain"
"44",74.08,0,25.92,"Survival","High-lat shelf","Future climate","B",4,0,"Certain"
"45",56.34,0,43.66,"Growth","High-lat shelf","Future climate","B",4,1,"Autumn primary production -> Marine snow"
"46",74.42,0,25.58,"Survival","High-lat shelf","Future climate","B",4,1,"Autumn primary production -> Marine snow"
"47",59.54,0,40.46,"Growth","High-lat shelf","Future climate","B",4,2,"Autumn primary production -> Sea-ice algae"
"48",75.58,0,24.42,"Survival","High-lat shelf","Future climate","B",4,2,"Autumn primary production -> Sea-ice algae"
"49",57.74,0,42.26,"Growth","High-lat shelf","Future climate","B",4,3,"Small copepods -> POM"
"50",74.14,0,25.86,"Survival","High-lat shelf","Future climate","B",4,3,"Small copepods -> POM"
"51",56.5,0,43.5,"Growth","High-lat shelf","Future climate","B",4,4,"Glacial melt -> Nutrients"
"52",73.72,0,26.28,"Survival","High-lat shelf","Future climate","B",4,4,"Glacial melt -> Nutrients"
"53",57.64,0,42.36,"Growth","High-lat shelf","Future climate","B",4,5,"Ice terraces -* Predation risk"
"54",59.44,0,40.56,"Survival","High-lat shelf","Future climate","B",4,5,"Ice terraces -* Predation risk"
"55",60.18,0,39.82,"Growth","High-lat shelf","Future climate","B",4,6,"POM -* Small copepods"
"56",58.72,0,41.28,"Survival","High-lat shelf","Future climate","B",4,6,"POM -* Small copepods"
"57",56.86,0,43.14,"Growth","High-lat shelf","Future climate","B",5,0,"Certain"
"58",74.56,0,25.44,"Survival","High-lat shelf","Future climate","B",5,0,"Certain"
"59",55.96,0,44.04,"Growth","High-lat shelf","Future climate","B",5,1,"Autumn primary production -> Marine snow"
"60",73.46,0,26.54,"Survival","High-lat shelf","Future climate","B",5,1,"Autumn primary production -> Marine snow"
"61",54.8,0,45.2,"Growth","High-lat shelf","Future climate","B",5,2,"Small copepods -> POM"
"62",72.4,0,27.6,"Survival","High-lat shelf","Future climate","B",5,2,"Small copepods -> POM"
"63",59.6,0,40.4,"Growth","High-lat shelf","Future climate","B",5,3,"Autumn primary production -> Sea-ice algae"
"64",75.46,0,24.54,"Survival","High-lat shelf","Future climate","B",5,3,"Autumn primary production -> Sea-ice algae"
"65",54.74,0,45.26,"Growth","High-lat shelf","Future climate","B",5,4,"Glacial melt -> Nutrients"
"66",71.68,0,28.32,"Survival","High-lat shelf","Future climate","B",5,4,"Glacial melt -> Nutrients"
"67",58.62,0,41.38,"Growth","High-lat shelf","Future climate","B",5,5,"Ice terraces -* Predation risk"
"68",59.88,0,40.12,"Survival","High-lat shelf","Future climate","B",5,5,"Ice terraces -* Predation risk"
"69",60.7,0,39.3,"Growth","High-lat shelf","Future climate","B",5,6,"POM -* Small copepods"
"70",60.48,0,39.52,"Survival","High-lat shelf","Future climate","B",5,6,"POM -* Small copepods"
"71",55.86,0,44.14,"Growth","High-lat shelf","Future climate","B",6,0,"Certain"
"72",74.16,0,25.84,"Survival","High-lat shelf","Future climate","B",6,0,"Certain"
"73",55.16,0,44.84,"Growth","High-lat shelf","Future climate","B",6,1,"Small copepods -> POM"
"74",73.38,0,26.62,"Survival","High-lat shelf","Future climate","B",6,1,"Small copepods -> POM"
"75",57.36,0,42.64,"Growth","High-lat shelf","Future climate","B",6,2,"Autumn primary production -> Marine snow"
"76",74.52,0,25.48,"Survival","High-lat shelf","Future climate","B",6,2,"Autumn primary production -> Marine snow"
"77",59.3,0,40.7,"Growth","High-lat shelf","Future climate","B",6,3,"Autumn primary production -> Sea-ice algae"
"78",75.44,0,24.56,"Survival","High-lat shelf","Future climate","B",6,3,"Autumn primary production -> Sea-ice algae"
"79",57.8,0,42.2,"Growth","High-lat shelf","Future climate","B",6,4,"Glacial melt -> Nutrients"
"80",73.8,0,26.2,"Survival","High-lat shelf","Future climate","B",6,4,"Glacial melt -> Nutrients"
"81",59.12,0,40.88,"Growth","High-lat shelf","Future climate","B",6,5,"Ice terraces -* Predation risk"
"82",59.3,0,40.7,"Survival","High-lat shelf","Future climate","B",6,5,"Ice terraces -* Predation risk"
"83",59.22,0,40.78,"Growth","High-lat shelf","Future climate","B",6,6,"POM -* Small copepods"
"84",59.36,0,40.64,"Survival","High-lat shelf","Future climate","B",6,6,"POM -* Small copepods"
"85",56.42,0,43.58,"Growth","High-lat shelf","Future climate","B",7,0,"Certain"
"86",73.7,0,26.3,"Survival","High-lat shelf","Future climate","B",7,0,"Certain"
"87",56.04,0,43.96,"Growth","High-lat shelf","Future climate","B",7,1,"Small copepods -> POM"
"88",73.68,0,26.32,"Survival","High-lat shelf","Future climate","B",7,1,"Small copepods -> POM"
"89",56.6,0,43.4,"Growth","High-lat shelf","Future climate","B",7,2,"Autumn primary production -> Marine snow"
"90",73.66,0,26.34,"Survival","High-lat shelf","Future climate","B",7,2,"Autumn primary production -> Marine snow"
"91",59.78,0,40.22,"Growth","High-lat shelf","Future climate","B",7,3,"Autumn primary production -> Sea-ice algae"
"92",75.32,0,24.68,"Survival","High-lat shelf","Future climate","B",7,3,"Autumn primary production -> Sea-ice algae"
"93",56.76,0,43.24,"Growth","High-lat shelf","Future climate","B",7,4,"Glacial melt -> Nutrients"
"94",73.34,0,26.66,"Survival","High-lat shelf","Future climate","B",7,4,"Glacial melt -> Nutrients"
"95",58.32,0,41.68,"Growth","High-lat shelf","Future climate","B",7,5,"POM -* Small copepods"
"96",74.46,0,25.54,"Survival","High-lat shelf","Future climate","B",7,5,"POM -* Small copepods"
"97",58.96,0,41.04,"Growth","High-lat shelf","Future climate","B",7,6,"Ice terraces -* Predation risk"
"98",59.28,0,40.72,"Survival","High-lat shelf","Future climate","B",7,6,"Ice terraces -* Predation risk"
"99",56.48,0,43.52,"Growth","High-lat shelf","Future climate","B",8,0,"Certain"
"100",74.16,0,25.84,"Survival","High-lat shelf","Future climate","B",8,0,"Certain"
"101",54.86,0,45.14,"Growth","High-lat shelf","Future climate","B",8,1,"Autumn primary production -> Marine snow"
"102",72.7,0.02,27.28,"Survival","High-lat shelf","Future climate","B",8,1,"Autumn primary production -> Marine snow"
"103",56,0,44,"Growth","High-lat shelf","Future climate","B",8,2,"Small copepods -> POM"
"104",74.44,0,25.56,"Survival","High-lat shelf","Future climate","B",8,2,"Small copepods -> POM"
"105",60.76,0,39.24,"Growth","High-lat shelf","Future climate","B",8,3,"Autumn primary production -> Sea-ice algae"
"106",75.3,0,24.7,"Survival","High-lat shelf","Future climate","B",8,3,"Autumn primary production -> Sea-ice algae"
"107",56.36,0,43.64,"Growth","High-lat shelf","Future climate","B",8,4,"Glacial melt -> Nutrients"
"108",73.58,0,26.42,"Survival","High-lat shelf","Future climate","B",8,4,"Glacial melt -> Nutrients"
"109",58.5,0,41.5,"Growth","High-lat shelf","Future climate","B",8,5,"POM -* Small copepods"
"110",73.9,0,26.1,"Survival","High-lat shelf","Future climate","B",8,5,"POM -* Small copepods"
"111",59.32,0,40.68,"Growth","High-lat shelf","Future climate","B",8,6,"Ice terraces -* Predation risk"
"112",59.8,0,40.2,"Survival","High-lat shelf","Future climate","B",8,6,"Ice terraces -* Predation risk"
"113",55.3,0,44.7,"Growth","High-lat shelf","Future climate","B",9,0,"Certain"
"114",72.94,0,27.06,"Survival","High-lat shelf","Future climate","B",9,0,"Certain"
"115",55.5,0,44.5,"Growth","High-lat shelf","Future climate","B",9,1,"Autumn primary production -> Marine snow"
"116",73.8,0,26.2,"Survival","High-lat shelf","Future climate","B",9,1,"Autumn primary production -> Marine snow"
