"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"1",42.46,0,57.54,"Growth","High-lat shelf","Future climate","D",1,0,"Certain"
"2",46.32,0,53.68,"Survival","High-lat shelf","Future climate","D",1,0,"Certain"
"3",44.88,0,55.12,"Growth","High-lat shelf","Future climate","D",1,1,"Autumn primary production -> Marine snow"
"4",47.02,0,52.98,"Survival","High-lat shelf","Future climate","D",1,1,"Autumn primary production -> Marine snow"
"5",45.94,0,54.06,"Growth","High-lat shelf","Future climate","D",1,2,"Autumn primary production -> Sea-ice algae"
"6",47.74,0,52.26,"Survival","High-lat shelf","Future climate","D",1,2,"Autumn primary production -> Sea-ice algae"
"7",48.46,0,51.54,"Growth","High-lat shelf","Future climate","D",1,3,"Glacial melt -> Nutrients"
"8",50,0,50,"Survival","High-lat shelf","Future climate","D",1,3,"Glacial melt -> Nutrients"
"9",51.42,0,48.58,"Growth","High-lat shelf","Future climate","D",1,4,"Ice terraces -* Predation risk"
"10",42.56,0.02,57.42,"Survival","High-lat shelf","Future climate","D",1,4,"Ice terraces -* Predation risk"
"11",50.5,0,49.5,"Growth","High-lat shelf","Future climate","D",1,5,"POM -* Small copepods"
"12",42.6,0,57.4,"Survival","High-lat shelf","Future climate","D",1,5,"POM -* Small copepods"
"13",53.46,0,46.54,"Growth","High-lat shelf","Future climate","D",1,6,"Small copepods -> POM"
"14",44.36,0,55.64,"Survival","High-lat shelf","Future climate","D",1,6,"Small copepods -> POM"
"15",44.24,0,55.76,"Growth","High-lat shelf","Future climate","D",2,0,"Certain"
"16",47.62,0,52.38,"Survival","High-lat shelf","Future climate","D",2,0,"Certain"
"17",43.02,0,56.98,"Growth","High-lat shelf","Future climate","D",2,1,"Autumn primary production -> Marine snow"
"18",46.14,0,53.86,"Survival","High-lat shelf","Future climate","D",2,1,"Autumn primary production -> Marine snow"
"19",46.56,0,53.44,"Growth","High-lat shelf","Future climate","D",2,2,"Autumn primary production -> Sea-ice algae"
"20",49.68,0,50.32,"Survival","High-lat shelf","Future climate","D",2,2,"Autumn primary production -> Sea-ice algae"
"21",48.46,0,51.54,"Growth","High-lat shelf","Future climate","D",2,3,"Glacial melt -> Nutrients"
"22",49.76,0,50.24,"Survival","High-lat shelf","Future climate","D",2,3,"Glacial melt -> Nutrients"
