"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"1",55.48,0,44.52,"Growth","Low-lat shelf","Future climate","A",1,0,"Certain"
"2",51.72,0,48.28,"Survival","Low-lat shelf","Future climate","A",1,0,"Certain"
"3",54.28,0,45.72,"Growth","Low-lat shelf","Future climate","A",1,1,"Autumn primary production -> Marine snow"
"4",51.4,0,48.6,"Survival","Low-lat shelf","Future climate","A",1,1,"Autumn primary production -> Marine snow"
"5",51.86,0,48.14,"Growth","Low-lat shelf","Future climate","A",1,2,"Autumn primary production -> Sea-ice algae"
"6",49.68,0,50.32,"Survival","Low-lat shelf","Future climate","A",1,2,"Autumn primary production -> Sea-ice algae"
"7",48.4,0,51.6,"Growth","Low-lat shelf","Future climate","A",1,3,"Glacial melt -> Nutrients"
"8",48.12,0,51.88,"Survival","Low-lat shelf","Future climate","A",1,3,"Glacial melt -> Nutrients"
"9",51.94,0,48.06,"Growth","Low-lat shelf","Future climate","A",1,4,"Ice terraces -* Predation risk"
"10",38.82,0,61.18,"Survival","Low-lat shelf","Future climate","A",1,4,"Ice terraces -* Predation risk"
"11",51.36,0,48.64,"Growth","Low-lat shelf","Future climate","A",1,5,"POM -* Small copepods"
"12",38.46,0,61.54,"Survival","Low-lat shelf","Future climate","A",1,5,"POM -* Small copepods"
"13",49.4,0,50.6,"Growth","Low-lat shelf","Future climate","A",1,6,"Small copepods -> POM"
"14",37,0,63,"Survival","Low-lat shelf","Future climate","A",1,6,"Small copepods -> POM"
"15",54.62,0,45.38,"Growth","Low-lat shelf","Future climate","A",2,0,"Certain"
"16",50.82,0,49.18,"Survival","Low-lat shelf","Future climate","A",2,0,"Certain"
"17",53.64,0,46.36,"Growth","Low-lat shelf","Future climate","A",2,1,"Autumn primary production -> Marine snow"
"18",51.78,0,48.22,"Survival","Low-lat shelf","Future climate","A",2,1,"Autumn primary production -> Marine snow"
"19",52.36,0,47.64,"Growth","Low-lat shelf","Future climate","A",2,2,"Autumn primary production -> Sea-ice algae"
"20",50.6,0,49.4,"Survival","Low-lat shelf","Future climate","A",2,2,"Autumn primary production -> Sea-ice algae"
"21",50.34,0,49.66,"Growth","Low-lat shelf","Future climate","A",2,3,"Glacial melt -> Nutrients"
"22",49.32,0,50.68,"Survival","Low-lat shelf","Future climate","A",2,3,"Glacial melt -> Nutrients"
"23",52.22,0,47.78,"Growth","Low-lat shelf","Future climate","A",2,4,"Ice terraces -* Predation risk"
"24",38.7,0,61.3,"Survival","Low-lat shelf","Future climate","A",2,4,"Ice terraces -* Predation risk"
"25",48.82,0,51.18,"Growth","Low-lat shelf","Future climate","A",2,5,"Small copepods -> POM"
"26",36.1,0,63.9,"Survival","Low-lat shelf","Future climate","A",2,5,"Small copepods -> POM"
"27",48.04,0,51.96,"Growth","Low-lat shelf","Future climate","A",2,6,"POM -* Small copepods"
"28",35.94,0,64.06,"Survival","Low-lat shelf","Future climate","A",2,6,"POM -* Small copepods"
"29",55.34,0,44.66,"Growth","Low-lat shelf","Future climate","A",3,0,"Certain"
"30",52.28,0,47.72,"Survival","Low-lat shelf","Future climate","A",3,0,"Certain"
"31",54.7,0,45.3,"Growth","Low-lat shelf","Future climate","A",3,1,"Autumn primary production -> Marine snow"
"32",52.94,0,47.06,"Survival","Low-lat shelf","Future climate","A",3,1,"Autumn primary production -> Marine snow"
"33",50.94,0,49.06,"Growth","Low-lat shelf","Future climate","A",3,2,"Autumn primary production -> Sea-ice algae"
"34",49.28,0,50.72,"Survival","Low-lat shelf","Future climate","A",3,2,"Autumn primary production -> Sea-ice algae"
"35",49.96,0,50.04,"Growth","Low-lat shelf","Future climate","A",3,3,"Glacial melt -> Nutrients"
"36",48.74,0,51.26,"Survival","Low-lat shelf","Future climate","A",3,3,"Glacial melt -> Nutrients"
"37",48.18,0,51.82,"Growth","Low-lat shelf","Future climate","A",3,4,"Small copepods -> POM"
"38",47.76,0,52.24,"Survival","Low-lat shelf","Future climate","A",3,4,"Small copepods -> POM"
"39",49.32,0,50.68,"Growth","Low-lat shelf","Future climate","A",3,5,"Ice terraces -* Predation risk"
"40",37.64,0,62.36,"Survival","Low-lat shelf","Future climate","A",3,5,"Ice terraces -* Predation risk"
"41",47.78,0,52.22,"Growth","Low-lat shelf","Future climate","A",3,6,"POM -* Small copepods"
"42",37,0,63,"Survival","Low-lat shelf","Future climate","A",3,6,"POM -* Small copepods"
"43",56.86,0,43.14,"Growth","Low-lat shelf","Future climate","A",4,0,"Certain"
"44",52.3,0,47.7,"Survival","Low-lat shelf","Future climate","A",4,0,"Certain"
"45",56.26,0,43.74,"Growth","Low-lat shelf","Future climate","A",4,1,"Autumn primary production -> Marine snow"
"46",52.7,0,47.3,"Survival","Low-lat shelf","Future climate","A",4,1,"Autumn primary production -> Marine snow"
"47",52.12,0,47.88,"Growth","Low-lat shelf","Future climate","A",4,2,"Autumn primary production -> Sea-ice algae"
"48",51.02,0,48.98,"Survival","Low-lat shelf","Future climate","A",4,2,"Autumn primary production -> Sea-ice algae"
"49",50.24,0,49.76,"Growth","Low-lat shelf","Future climate","A",4,3,"Small copepods -> POM"
"50",50,0,50,"Survival","Low-lat shelf","Future climate","A",4,3,"Small copepods -> POM"
"51",45.82,0,54.18,"Growth","Low-lat shelf","Future climate","A",4,4,"Glacial melt -> Nutrients"
"52",46.9,0,53.1,"Survival","Low-lat shelf","Future climate","A",4,4,"Glacial melt -> Nutrients"
"53",50.1,0,49.9,"Growth","Low-lat shelf","Future climate","A",4,5,"Ice terraces -* Predation risk"
"54",36.8,0,63.2,"Survival","Low-lat shelf","Future climate","A",4,5,"Ice terraces -* Predation risk"
"55",48.98,0,51.02,"Growth","Low-lat shelf","Future climate","A",4,6,"POM -* Small copepods"
"56",37.34,0,62.66,"Survival","Low-lat shelf","Future climate","A",4,6,"POM -* Small copepods"
"57",55.4,0,44.6,"Growth","Low-lat shelf","Future climate","A",5,0,"Certain"
"58",51.22,0,48.78,"Survival","Low-lat shelf","Future climate","A",5,0,"Certain"
"59",54.06,0,45.94,"Growth","Low-lat shelf","Future climate","A",5,1,"Autumn primary production -> Marine snow"
