"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"1",60.86,0,39.14,"Growth","Low-lat shelf","Future climate","B.2",1,0,"Certain"
"2",86.12,0,13.88,"Survival","Low-lat shelf","Future climate","B.2",1,0,"Certain"
"3",60.28,0,39.72,"Growth","Low-lat shelf","Future climate","B.2",1,1,"Autumn primary production -> Marine snow"
"4",85.88,0,14.12,"Survival","Low-lat shelf","Future climate","B.2",1,1,"Autumn primary production -> Marine snow"
"5",60.04,0,39.96,"Growth","Low-lat shelf","Future climate","B.2",1,2,"Autumn primary production -> Sea-ice algae"
"6",85.04,0,14.96,"Survival","Low-lat shelf","Future climate","B.2",1,2,"Autumn primary production -> Sea-ice algae"
"7",58.16,0,41.84,"Growth","Low-lat shelf","Future climate","B.2",1,3,"Glacial melt -> Nutrients"
"8",84.6,0,15.4,"Survival","Low-lat shelf","Future climate","B.2",1,3,"Glacial melt -> Nutrients"
"9",59.26,0,40.74,"Growth","Low-lat shelf","Future climate","B.2",1,4,"Ice terraces -* Predation risk"
"10",84.4,0,15.6,"Survival","Low-lat shelf","Future climate","B.2",1,4,"Ice terraces -* Predation risk"
"11",72.16,0,27.84,"Growth","Low-lat shelf","Future climate","B.2",1,5,"POM -* Small copepods"
"12",88.62,0,11.38,"Survival","Low-lat shelf","Future climate","B.2",1,5,"POM -* Small copepods"
"13",76.22,0,23.78,"Growth","Low-lat shelf","Future climate","B.2",1,6,"Small copepods -> POM"
"14",89.66,0,10.34,"Survival","Low-lat shelf","Future climate","B.2",1,6,"Small copepods -> POM"
"15",58.48,0,41.52,"Growth","Low-lat shelf","Future climate","B.2",2,0,"Certain"
"16",84.94,0,15.06,"Survival","Low-lat shelf","Future climate","B.2",2,0,"Certain"
"17",61.92,0,38.08,"Growth","Low-lat shelf","Future climate","B.2",2,1,"Autumn primary production -> Marine snow"
"18",85.28,0,14.72,"Survival","Low-lat shelf","Future climate","B.2",2,1,"Autumn primary production -> Marine snow"
"19",60.1,0,39.9,"Growth","Low-lat shelf","Future climate","B.2",2,2,"Autumn primary production -> Sea-ice algae"
"20",84.38,0,15.62,"Survival","Low-lat shelf","Future climate","B.2",2,2,"Autumn primary production -> Sea-ice algae"
"21",58.1,0,41.9,"Growth","Low-lat shelf","Future climate","B.2",2,3,"Glacial melt -> Nutrients"
"22",84.26,0,15.74,"Survival","Low-lat shelf","Future climate","B.2",2,3,"Glacial melt -> Nutrients"
"23",58.44,0,41.56,"Growth","Low-lat shelf","Future climate","B.2",2,4,"Ice terraces -* Predation risk"
"24",83.5,0,16.5,"Survival","Low-lat shelf","Future climate","B.2",2,4,"Ice terraces -* Predation risk"
"25",57.98,0,42.02,"Growth","Low-lat shelf","Future climate","B.2",2,5,"Small copepods -> POM"
"26",85.2,0,14.8,"Survival","Low-lat shelf","Future climate","B.2",2,5,"Small copepods -> POM"
"27",76.76,0,23.24,"Growth","Low-lat shelf","Future climate","B.2",2,6,"POM -* Small copepods"
"28",90.32,0,9.68,"Survival","Low-lat shelf","Future climate","B.2",2,6,"POM -* Small copepods"
"29",58.5,0,41.5,"Growth","Low-lat shelf","Future climate","B.2",3,0,"Certain"
"30",84.96,0,15.04,"Survival","Low-lat shelf","Future climate","B.2",3,0,"Certain"
"31",61.2,0,38.8,"Growth","Low-lat shelf","Future climate","B.2",3,1,"Autumn primary production -> Marine snow"
"32",85.5,0,14.5,"Survival","Low-lat shelf","Future climate","B.2",3,1,"Autumn primary production -> Marine snow"
"33",60.46,0,39.54,"Growth","Low-lat shelf","Future climate","B.2",3,2,"Autumn primary production -> Sea-ice algae"
"34",86.14,0,13.86,"Survival","Low-lat shelf","Future climate","B.2",3,2,"Autumn primary production -> Sea-ice algae"
"35",58.16,0,41.84,"Growth","Low-lat shelf","Future climate","B.2",3,3,"Glacial melt -> Nutrients"
"36",85.46,0,14.54,"Survival","Low-lat shelf","Future climate","B.2",3,3,"Glacial melt -> Nutrients"
"37",59.46,0,40.54,"Growth","Low-lat shelf","Future climate","B.2",3,4,"Small copepods -> POM"
"38",86.14,0,13.86,"Survival","Low-lat shelf","Future climate","B.2",3,4,"Small copepods -> POM"
"39",59.62,0,40.38,"Growth","Low-lat shelf","Future climate","B.2",3,5,"Ice terraces -* Predation risk"
"40",86.96,0,13.04,"Survival","Low-lat shelf","Future climate","B.2",3,5,"Ice terraces -* Predation risk"
"41",76.74,0,23.26,"Growth","Low-lat shelf","Future climate","B.2",3,6,"POM -* Small copepods"
"42",90.02,0,9.98,"Survival","Low-lat shelf","Future climate","B.2",3,6,"POM -* Small copepods"
"43",60.3,0,39.7,"Growth","Low-lat shelf","Future climate","B.2",4,0,"Certain"
"44",85.74,0,14.26,"Survival","Low-lat shelf","Future climate","B.2",4,0,"Certain"
"45",59.38,0,40.62,"Growth","Low-lat shelf","Future climate","B.2",4,1,"Autumn primary production -> Marine snow"
