"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"1",49.62,0,50.38,"Growth","Low-lat shelf","Future climate","B",1,0,"Certain"
"2",70.54,0,29.46,"Survival","Low-lat shelf","Future climate","B",1,0,"Certain"
"3",50.34,0,49.66,"Growth","Low-lat shelf","Future climate","B",1,1,"Autumn primary production -> Marine snow"
"4",69.18,0,30.82,"Survival","Low-lat shelf","Future climate","B",1,1,"Autumn primary production -> Marine snow"
"5",53.42,0,46.58,"Growth","Low-lat shelf","Future climate","B",1,2,"Autumn primary production -> Sea-ice algae"
"6",71.3,0,28.7,"Survival","Low-lat shelf","Future climate","B",1,2,"Autumn primary production -> Sea-ice algae"
"7",50.16,0,49.84,"Growth","Low-lat shelf","Future climate","B",1,3,"Glacial melt -> Nutrients"
"8",68.88,0,31.12,"Survival","Low-lat shelf","Future climate","B",1,3,"Glacial melt -> Nutrients"
"9",53.96,0,46.04,"Growth","Low-lat shelf","Future climate","B",1,4,"Ice terraces -* Predation risk"
"10",56.56,0,43.44,"Survival","Low-lat shelf","Future climate","B",1,4,"Ice terraces -* Predation risk"
"11",53.12,0,46.88,"Growth","Low-lat shelf","Future climate","B",1,5,"POM -* Small copepods"
"12",55.48,0,44.52,"Survival","Low-lat shelf","Future climate","B",1,5,"POM -* Small copepods"
"13",55.2,0,44.8,"Growth","Low-lat shelf","Future climate","B",1,6,"Small copepods -> POM"
"14",57.56,0,42.44,"Survival","Low-lat shelf","Future climate","B",1,6,"Small copepods -> POM"
"15",50.06,0,49.94,"Growth","Low-lat shelf","Future climate","B",2,0,"Certain"
"16",70.32,0,29.68,"Survival","Low-lat shelf","Future climate","B",2,0,"Certain"
"17",50.12,0,49.88,"Growth","Low-lat shelf","Future climate","B",2,1,"Autumn primary production -> Marine snow"
"18",69.58,0,30.42,"Survival","Low-lat shelf","Future climate","B",2,1,"Autumn primary production -> Marine snow"
"19",53.26,0,46.74,"Growth","Low-lat shelf","Future climate","B",2,2,"Autumn primary production -> Sea-ice algae"
"20",70.92,0,29.08,"Survival","Low-lat shelf","Future climate","B",2,2,"Autumn primary production -> Sea-ice algae"
"21",51.26,0,48.74,"Growth","Low-lat shelf","Future climate","B",2,3,"Glacial melt -> Nutrients"
"22",68.82,0,31.18,"Survival","Low-lat shelf","Future climate","B",2,3,"Glacial melt -> Nutrients"
"23",53.7,0,46.3,"Growth","Low-lat shelf","Future climate","B",2,4,"Ice terraces -* Predation risk"
"24",55.78,0,44.22,"Survival","Low-lat shelf","Future climate","B",2,4,"Ice terraces -* Predation risk"
"25",52.04,0,47.96,"Growth","Low-lat shelf","Future climate","B",2,5,"Small copepods -> POM"
"26",55.6,0,44.4,"Survival","Low-lat shelf","Future climate","B",2,5,"Small copepods -> POM"
"27",55.38,0,44.62,"Growth","Low-lat shelf","Future climate","B",2,6,"POM -* Small copepods"
"28",57.14,0,42.86,"Survival","Low-lat shelf","Future climate","B",2,6,"POM -* Small copepods"
"29",49.94,0,50.06,"Growth","Low-lat shelf","Future climate","B",3,0,"Certain"
"30",69.5,0,30.5,"Survival","Low-lat shelf","Future climate","B",3,0,"Certain"
"31",49.7,0,50.3,"Growth","Low-lat shelf","Future climate","B",3,1,"Autumn primary production -> Marine snow"
"32",69.56,0,30.44,"Survival","Low-lat shelf","Future climate","B",3,1,"Autumn primary production -> Marine snow"
"33",52.86,0,47.14,"Growth","Low-lat shelf","Future climate","B",3,2,"Autumn primary production -> Sea-ice algae"
"34",71.26,0,28.74,"Survival","Low-lat shelf","Future climate","B",3,2,"Autumn primary production -> Sea-ice algae"
"35",50.74,0,49.26,"Growth","Low-lat shelf","Future climate","B",3,3,"Glacial melt -> Nutrients"
"36",69.7,0,30.3,"Survival","Low-lat shelf","Future climate","B",3,3,"Glacial melt -> Nutrients"
"37",49.56,0,50.44,"Growth","Low-lat shelf","Future climate","B",3,4,"Small copepods -> POM"
"38",68.58,0,31.42,"Survival","Low-lat shelf","Future climate","B",3,4,"Small copepods -> POM"
"39",52.52,0,47.48,"Growth","Low-lat shelf","Future climate","B",3,5,"Ice terraces -* Predation risk"
"40",55.26,0,44.74,"Survival","Low-lat shelf","Future climate","B",3,5,"Ice terraces -* Predation risk"
"41",53.84,0,46.16,"Growth","Low-lat shelf","Future climate","B",3,6,"POM -* Small copepods"
"42",56.74,0,43.26,"Survival","Low-lat shelf","Future climate","B",3,6,"POM -* Small copepods"
"43",50.98,0,49.02,"Growth","Low-lat shelf","Future climate","B",4,0,"Certain"
"44",70.28,0,29.72,"Survival","Low-lat shelf","Future climate","B",4,0,"Certain"
"45",49.46,0,50.54,"Growth","Low-lat shelf","Future climate","B",4,1,"Autumn primary production -> Marine snow"
"46",68.66,0,31.34,"Survival","Low-lat shelf","Future climate","B",4,1,"Autumn primary production -> Marine snow"
"47",53.5,0,46.5,"Growth","Low-lat shelf","Future climate","B",4,2,"Autumn primary production -> Sea-ice algae"
"48",71.02,0,28.98,"Survival","Low-lat shelf","Future climate","B",4,2,"Autumn primary production -> Sea-ice algae"
"49",53.92,0,46.08,"Growth","Low-lat shelf","Future climate","B",4,3,"Small copepods -> POM"
"50",70.98,0,29.02,"Survival","Low-lat shelf","Future climate","B",4,3,"Small copepods -> POM"
"51",50.7,0,49.3,"Growth","Low-lat shelf","Future climate","B",4,4,"Glacial melt -> Nutrients"
"52",69.78,0,30.22,"Survival","Low-lat shelf","Future climate","B",4,4,"Glacial melt -> Nutrients"
"53",53.66,0,46.34,"Growth","Low-lat shelf","Future climate","B",4,5,"Ice terraces -* Predation risk"
"54",54.92,0,45.08,"Survival","Low-lat shelf","Future climate","B",4,5,"Ice terraces -* Predation risk"
"55",54.54,0,45.46,"Growth","Low-lat shelf","Future climate","B",4,6,"POM -* Small copepods"
"56",56.1,0,43.9,"Survival","Low-lat shelf","Future climate","B",4,6,"POM -* Small copepods"
"57",49.88,0,50.12,"Growth","Low-lat shelf","Future climate","B",5,0,"Certain"
"58",70.7,0,29.3,"Survival","Low-lat shelf","Future climate","B",5,0,"Certain"
"59",50.5,0,49.5,"Growth","Low-lat shelf","Future climate","B",5,1,"Autumn primary production -> Marine snow"
"60",70,0,30,"Survival","Low-lat shelf","Future climate","B",5,1,"Autumn primary production -> Marine snow"
"61",48.8,0,51.2,"Growth","Low-lat shelf","Future climate","B",5,2,"Small copepods -> POM"
"62",68.68,0,31.32,"Survival","Low-lat shelf","Future climate","B",5,2,"Small copepods -> POM"
"63",52.26,0,47.74,"Growth","Low-lat shelf","Future climate","B",5,3,"Autumn primary production -> Sea-ice algae"
"64",70.58,0,29.42,"Survival","Low-lat shelf","Future climate","B",5,3,"Autumn primary production -> Sea-ice algae"
"65",50.12,0,49.88,"Growth","Low-lat shelf","Future climate","B",5,4,"Glacial melt -> Nutrients"
"66",68.4,0,31.6,"Survival","Low-lat shelf","Future climate","B",5,4,"Glacial melt -> Nutrients"
"67",52.64,0,47.36,"Growth","Low-lat shelf","Future climate","B",5,5,"Ice terraces -* Predation risk"
"68",54.66,0,45.34,"Survival","Low-lat shelf","Future climate","B",5,5,"Ice terraces -* Predation risk"
"69",52.62,0,47.38,"Growth","Low-lat shelf","Future climate","B",5,6,"POM -* Small copepods"
"70",54.66,0,45.34,"Survival","Low-lat shelf","Future climate","B",5,6,"POM -* Small copepods"
"71",50.08,0,49.92,"Growth","Low-lat shelf","Future climate","B",6,0,"Certain"
"72",70.52,0,29.48,"Survival","Low-lat shelf","Future climate","B",6,0,"Certain"
"73",48.14,0,51.86,"Growth","Low-lat shelf","Future climate","B",6,1,"Small copepods -> POM"
"74",69.22,0.02,30.76,"Survival","Low-lat shelf","Future climate","B",6,1,"Small copepods -> POM"
"75",47.72,0,52.28,"Growth","Low-lat shelf","Future climate","B",6,2,"Autumn primary production -> Marine snow"
"76",68.44,0,31.56,"Survival","Low-lat shelf","Future climate","B",6,2,"Autumn primary production -> Marine snow"
"77",52.52,0,47.48,"Growth","Low-lat shelf","Future climate","B",6,3,"Autumn primary production -> Sea-ice algae"
"78",71.28,0,28.72,"Survival","Low-lat shelf","Future climate","B",6,3,"Autumn primary production -> Sea-ice algae"
"79",49.98,0,50.02,"Growth","Low-lat shelf","Future climate","B",6,4,"Glacial melt -> Nutrients"
"80",68.88,0,31.12,"Survival","Low-lat shelf","Future climate","B",6,4,"Glacial melt -> Nutrients"
"81",53.48,0,46.52,"Growth","Low-lat shelf","Future climate","B",6,5,"Ice terraces -* Predation risk"
"82",56.54,0,43.46,"Survival","Low-lat shelf","Future climate","B",6,5,"Ice terraces -* Predation risk"
"83",53.44,0,46.56,"Growth","Low-lat shelf","Future climate","B",6,6,"POM -* Small copepods"
"84",55.66,0,44.34,"Survival","Low-lat shelf","Future climate","B",6,6,"POM -* Small copepods"
