"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"1",55.46,0,44.54,"Growth","Open ocean","Future climate","A",1,0,"Certain"
"2",38.96,0,61.04,"Survival","Open ocean","Future climate","A",1,0,"Certain"
"3",56.86,0,43.14,"Growth","Open ocean","Future climate","A",1,1,"Autumn primary production -> Marine snow"
"4",40.02,0,59.98,"Survival","Open ocean","Future climate","A",1,1,"Autumn primary production -> Marine snow"
"5",51.42,0,48.58,"Growth","Open ocean","Future climate","A",1,2,"Autumn primary production -> Sea-ice algae"
"6",36.2,0,63.8,"Survival","Open ocean","Future climate","A",1,2,"Autumn primary production -> Sea-ice algae"
"7",51.84,0,48.16,"Growth","Open ocean","Future climate","A",1,3,"Glacial melt -> Nutrients"
"8",38.12,0,61.88,"Survival","Open ocean","Future climate","A",1,3,"Glacial melt -> Nutrients"
"9",51.34,0,48.66,"Growth","Open ocean","Future climate","A",1,4,"Ice terraces -* Predation risk"
"10",40.7,0,59.3,"Survival","Open ocean","Future climate","A",1,4,"Ice terraces -* Predation risk"
"11",50.12,0,49.88,"Growth","Open ocean","Future climate","A",1,5,"POM -* Small copepods"
"12",40.36,0,59.64,"Survival","Open ocean","Future climate","A",1,5,"POM -* Small copepods"
"13",47.94,0,52.06,"Growth","Open ocean","Future climate","A",1,6,"Small copepods -> POM"
"14",37.42,0,62.58,"Survival","Open ocean","Future climate","A",1,6,"Small copepods -> POM"
"15",56.78,0,43.22,"Growth","Open ocean","Future climate","A",2,0,"Certain"
"16",39.94,0,60.06,"Survival","Open ocean","Future climate","A",2,0,"Certain"
"17",56.06,0,43.94,"Growth","Open ocean","Future climate","A",2,1,"Autumn primary production -> Marine snow"
"18",40.28,0,59.72,"Survival","Open ocean","Future climate","A",2,1,"Autumn primary production -> Marine snow"
"19",53.02,0,46.98,"Growth","Open ocean","Future climate","A",2,2,"Autumn primary production -> Sea-ice algae"
"20",38.24,0,61.76,"Survival","Open ocean","Future climate","A",2,2,"Autumn primary production -> Sea-ice algae"
"21",52.8,0,47.2,"Growth","Open ocean","Future climate","A",2,3,"Glacial melt -> Nutrients"
"22",38.3,0,61.7,"Survival","Open ocean","Future climate","A",2,3,"Glacial melt -> Nutrients"
"23",52.46,0,47.54,"Growth","Open ocean","Future climate","A",2,4,"Ice terraces -* Predation risk"
"24",40.5,0,59.5,"Survival","Open ocean","Future climate","A",2,4,"Ice terraces -* Predation risk"
"25",48.22,0,51.78,"Growth","Open ocean","Future climate","A",2,5,"Small copepods -> POM"
"26",38.36,0,61.64,"Survival","Open ocean","Future climate","A",2,5,"Small copepods -> POM"
"27",47.56,0,52.44,"Growth","Open ocean","Future climate","A",2,6,"POM -* Small copepods"
"28",37.9,0,62.1,"Survival","Open ocean","Future climate","A",2,6,"POM -* Small copepods"
"29",56.66,0,43.34,"Growth","Open ocean","Future climate","A",3,0,"Certain"
"30",40.04,0,59.96,"Survival","Open ocean","Future climate","A",3,0,"Certain"
"31",53.48,0,46.52,"Growth","Open ocean","Future climate","A",3,1,"Autumn primary production -> Marine snow"
"32",37.22,0,62.78,"Survival","Open ocean","Future climate","A",3,1,"Autumn primary production -> Marine snow"
"33",50.84,0,49.16,"Growth","Open ocean","Future climate","A",3,2,"Autumn primary production -> Sea-ice algae"
"34",37.2,0,62.8,"Survival","Open ocean","Future climate","A",3,2,"Autumn primary production -> Sea-ice algae"
"35",52.12,0,47.88,"Growth","Open ocean","Future climate","A",3,3,"Glacial melt -> Nutrients"
"36",37.68,0,62.32,"Survival","Open ocean","Future climate","A",3,3,"Glacial melt -> Nutrients"
"37",49.18,0,50.82,"Growth","Open ocean","Future climate","A",3,4,"Small copepods -> POM"
"38",34.76,0,65.24,"Survival","Open ocean","Future climate","A",3,4,"Small copepods -> POM"
"39",48.4,0,51.6,"Growth","Open ocean","Future climate","A",3,5,"Ice terraces -* Predation risk"
"40",37.86,0,62.14,"Survival","Open ocean","Future climate","A",3,5,"Ice terraces -* Predation risk"
"41",47.42,0,52.58,"Growth","Open ocean","Future climate","A",3,6,"POM -* Small copepods"
"42",37.8,0,62.2,"Survival","Open ocean","Future climate","A",3,6,"POM -* Small copepods"
"43",56.28,0,43.72,"Growth","Open ocean","Future climate","A",4,0,"Certain"
"44",39.26,0,60.74,"Survival","Open ocean","Future climate","A",4,0,"Certain"
"45",55.44,0,44.56,"Growth","Open ocean","Future climate","A",4,1,"Autumn primary production -> Marine snow"
"46",39.9,0,60.1,"Survival","Open ocean","Future climate","A",4,1,"Autumn primary production -> Marine snow"
"47",50.22,0,49.78,"Growth","Open ocean","Future climate","A",4,2,"Autumn primary production -> Sea-ice algae"
"48",37.04,0,62.96,"Survival","Open ocean","Future climate","A",4,2,"Autumn primary production -> Sea-ice algae"
"49",46.44,0,53.56,"Growth","Open ocean","Future climate","A",4,3,"Small copepods -> POM"
"50",33.2,0.02,66.78,"Survival","Open ocean","Future climate","A",4,3,"Small copepods -> POM"
"51",48.74,0,51.26,"Growth","Open ocean","Future climate","A",4,4,"Glacial melt -> Nutrients"
"52",34.62,0,65.38,"Survival","Open ocean","Future climate","A",4,4,"Glacial melt -> Nutrients"
"53",47.6,0,52.4,"Growth","Open ocean","Future climate","A",4,5,"Ice terraces -* Predation risk"
"54",37.18,0,62.82,"Survival","Open ocean","Future climate","A",4,5,"Ice terraces -* Predation risk"
"55",46.62,0,53.38,"Growth","Open ocean","Future climate","A",4,6,"POM -* Small copepods"
"56",38.44,0,61.56,"Survival","Open ocean","Future climate","A",4,6,"POM -* Small copepods"
"57",56.14,0,43.86,"Growth","Open ocean","Future climate","A",5,0,"Certain"
"58",38.68,0,61.32,"Survival","Open ocean","Future climate","A",5,0,"Certain"
"59",55.68,0,44.32,"Growth","Open ocean","Future climate","A",5,1,"Autumn primary production -> Marine snow"
"60",39.48,0,60.52,"Survival","Open ocean","Future climate","A",5,1,"Autumn primary production -> Marine snow"
"61",53.78,0,46.22,"Growth","Open ocean","Future climate","A",5,2,"Small copepods -> POM"
"62",37.94,0,62.06,"Survival","Open ocean","Future climate","A",5,2,"Small copepods -> POM"
"63",48.6,0,51.4,"Growth","Open ocean","Future climate","A",5,3,"Autumn primary production -> Sea-ice algae"
"64",34.38,0,65.62,"Survival","Open ocean","Future climate","A",5,3,"Autumn primary production -> Sea-ice algae"
"65",48.28,0,51.72,"Growth","Open ocean","Future climate","A",5,4,"Glacial melt -> Nutrients"
"66",34.88,0,65.12,"Survival","Open ocean","Future climate","A",5,4,"Glacial melt -> Nutrients"
"67",48.16,0,51.84,"Growth","Open ocean","Future climate","A",5,5,"Ice terraces -* Predation risk"
"68",37.32,0,62.68,"Survival","Open ocean","Future climate","A",5,5,"Ice terraces -* Predation risk"
"69",47.74,0,52.26,"Growth","Open ocean","Future climate","A",5,6,"POM -* Small copepods"
"70",38.7,0,61.3,"Survival","Open ocean","Future climate","A",5,6,"POM -* Small copepods"
"71",55.98,0,44.02,"Growth","Open ocean","Future climate","A",6,0,"Certain"
"72",38.6,0,61.4,"Survival","Open ocean","Future climate","A",6,0,"Certain"
"73",53.16,0,46.84,"Growth","Open ocean","Future climate","A",6,1,"Small copepods -> POM"
"74",35.38,0,64.62,"Survival","Open ocean","Future climate","A",6,1,"Small copepods -> POM"
"75",53.72,0,46.28,"Growth","Open ocean","Future climate","A",6,2,"Autumn primary production -> Marine snow"
"76",36.86,0,63.14,"Survival","Open ocean","Future climate","A",6,2,"Autumn primary production -> Marine snow"
"77",48.66,0,51.34,"Growth","Open ocean","Future climate","A",6,3,"Autumn primary production -> Sea-ice algae"
"78",34.8,0,65.2,"Survival","Open ocean","Future climate","A",6,3,"Autumn primary production -> Sea-ice algae"
"79",47.92,0,52.08,"Growth","Open ocean","Future climate","A",6,4,"Glacial melt -> Nutrients"
"80",34.4,0,65.6,"Survival","Open ocean","Future climate","A",6,4,"Glacial melt -> Nutrients"
"81",47.76,0.02,52.22,"Growth","Open ocean","Future climate","A",6,5,"Ice terraces -* Predation risk"
"82",37.4,0,62.6,"Survival","Open ocean","Future climate","A",6,5,"Ice terraces -* Predation risk"
"83",47.14,0,52.86,"Growth","Open ocean","Future climate","A",6,6,"POM -* Small copepods"
"84",37.72,0,62.28,"Survival","Open ocean","Future climate","A",6,6,"POM -* Small copepods"
"85",56.6,0,43.4,"Growth","Open ocean","Future climate","A",7,0,"Certain"
"86",38.96,0,61.04,"Survival","Open ocean","Future climate","A",7,0,"Certain"
"87",53.5,0,46.5,"Growth","Open ocean","Future climate","A",7,1,"Small copepods -> POM"
"88",36.5,0,63.5,"Survival","Open ocean","Future climate","A",7,1,"Small copepods -> POM"
"89",52.3,0,47.7,"Growth","Open ocean","Future climate","A",7,2,"Autumn primary production -> Marine snow"
"90",36.12,0,63.88,"Survival","Open ocean","Future climate","A",7,2,"Autumn primary production -> Marine snow"
"91",48.66,0,51.34,"Growth","Open ocean","Future climate","A",7,3,"Autumn primary production -> Sea-ice algae"
"92",34.9,0,65.1,"Survival","Open ocean","Future climate","A",7,3,"Autumn primary production -> Sea-ice algae"
"93",48.5,0,51.5,"Growth","Open ocean","Future climate","A",7,4,"Glacial melt -> Nutrients"
"94",34.28,0,65.72,"Survival","Open ocean","Future climate","A",7,4,"Glacial melt -> Nutrients"
"95",47.1,0,52.9,"Growth","Open ocean","Future climate","A",7,5,"POM -* Small copepods"
"96",33.9,0,66.1,"Survival","Open ocean","Future climate","A",7,5,"POM -* Small copepods"
"97",48.06,0,51.94,"Growth","Open ocean","Future climate","A",7,6,"Ice terraces -* Predation risk"
"98",38.9,0,61.1,"Survival","Open ocean","Future climate","A",7,6,"Ice terraces -* Predation risk"
"99",56.86,0,43.14,"Growth","Open ocean","Future climate","A",8,0,"Certain"
"100",39.82,0,60.18,"Survival","Open ocean","Future climate","A",8,0,"Certain"
"101",55.54,0,44.46,"Growth","Open ocean","Future climate","A",8,1,"Autumn primary production -> Marine snow"
"102",39.54,0,60.46,"Survival","Open ocean","Future climate","A",8,1,"Autumn primary production -> Marine snow"
"103",52.72,0,47.28,"Growth","Open ocean","Future climate","A",8,2,"Small copepods -> POM"
"104",37.28,0,62.72,"Survival","Open ocean","Future climate","A",8,2,"Small copepods -> POM"
"105",48.64,0,51.36,"Growth","Open ocean","Future climate","A",8,3,"Autumn primary production -> Sea-ice algae"
"106",34.1,0,65.9,"Survival","Open ocean","Future climate","A",8,3,"Autumn primary production -> Sea-ice algae"
"107",47.32,0,52.68,"Growth","Open ocean","Future climate","A",8,4,"Glacial melt -> Nutrients"
"108",33.84,0,66.16,"Survival","Open ocean","Future climate","A",8,4,"Glacial melt -> Nutrients"
"109",48.3,0,51.7,"Growth","Open ocean","Future climate","A",8,5,"POM -* Small copepods"
"110",34.18,0.02,65.8,"Survival","Open ocean","Future climate","A",8,5,"POM -* Small copepods"
"111",46.06,0,53.94,"Growth","Open ocean","Future climate","A",8,6,"Ice terraces -* Predation risk"
"112",37.08,0,62.92,"Survival","Open ocean","Future climate","A",8,6,"Ice terraces -* Predation risk"
"113",55.8,0,44.2,"Growth","Open ocean","Future climate","A",9,0,"Certain"
"114",39.44,0,60.56,"Survival","Open ocean","Future climate","A",9,0,"Certain"
"115",55.84,0,44.16,"Growth","Open ocean","Future climate","A",9,1,"Autumn primary production -> Marine snow"
"116",39.86,0,60.14,"Survival","Open ocean","Future climate","A",9,1,"Autumn primary production -> Marine snow"
"117",52.68,0,47.32,"Growth","Open ocean","Future climate","A",9,2,"Autumn primary production -> Sea-ice algae"
"118",37.82,0,62.18,"Survival","Open ocean","Future climate","A",9,2,"Autumn primary production -> Sea-ice algae"
"119",48.3,0,51.7,"Growth","Open ocean","Future climate","A",9,3,"Small copepods -> POM"
"120",34.82,0,65.18,"Survival","Open ocean","Future climate","A",9,3,"Small copepods -> POM"
"121",49.8,0,50.2,"Growth","Open ocean","Future climate","A",9,4,"Glacial melt -> Nutrients"
"122",35.58,0,64.42,"Survival","Open ocean","Future climate","A",9,4,"Glacial melt -> Nutrients"
"123",47.28,0,52.72,"Growth","Open ocean","Future climate","A",9,5,"POM -* Small copepods"
"124",33.66,0,66.34,"Survival","Open ocean","Future climate","A",9,5,"POM -* Small copepods"
"125",46.64,0,53.36,"Growth","Open ocean","Future climate","A",9,6,"Ice terraces -* Predation risk"
"126",37.78,0,62.22,"Survival","Open ocean","Future climate","A",9,6,"Ice terraces -* Predation risk"
"127",55.88,0,44.12,"Growth","Open ocean","Future climate","A",10,0,"Certain"
"128",38.54,0,61.46,"Survival","Open ocean","Future climate","A",10,0,"Certain"
"129",55.36,0,44.64,"Growth","Open ocean","Future climate","A",10,1,"Autumn primary production -> Marine snow"
"130",39.68,0,60.32,"Survival","Open ocean","Future climate","A",10,1,"Autumn primary production -> Marine snow"
"131",51.3,0,48.7,"Growth","Open ocean","Future climate","A",10,2,"Autumn primary production -> Sea-ice algae"
"132",36.72,0,63.28,"Survival","Open ocean","Future climate","A",10,2,"Autumn primary production -> Sea-ice algae"
"133",51.1,0,48.9,"Growth","Open ocean","Future climate","A",10,3,"Glacial melt -> Nutrients"
"134",36.86,0,63.14,"Survival","Open ocean","Future climate","A",10,3,"Glacial melt -> Nutrients"
"135",48.92,0,51.08,"Growth","Open ocean","Future climate","A",10,4,"Small copepods -> POM"
"136",34.68,0,65.32,"Survival","Open ocean","Future climate","A",10,4,"Small copepods -> POM"
"137",46.92,0,53.08,"Growth","Open ocean","Future climate","A",10,5,"POM -* Small copepods"
"138",33.94,0,66.06,"Survival","Open ocean","Future climate","A",10,5,"POM -* Small copepods"
"139",47.2,0,52.8,"Growth","Open ocean","Future climate","A",10,6,"Ice terraces -* Predation risk"
"140",37.24,0,62.76,"Survival","Open ocean","Future climate","A",10,6,"Ice terraces -* Predation risk"
"141",56.12,0,43.88,"Growth","Open ocean","Future climate","A",11,0,"Certain"
"142",39.24,0,60.76,"Survival","Open ocean","Future climate","A",11,0,"Certain"
"143",55.04,0,44.96,"Growth","Open ocean","Future climate","A",11,1,"Autumn primary production -> Marine snow"
"144",38.96,0,61.04,"Survival","Open ocean","Future climate","A",11,1,"Autumn primary production -> Marine snow"
"145",50.7,0,49.3,"Growth","Open ocean","Future climate","A",11,2,"Autumn primary production -> Sea-ice algae"
