"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"1",73.44,0,26.56,"Growth","Open ocean","Future climate","B.2",1,0,"Certain"
"2",89.42,0,10.58,"Survival","Open ocean","Future climate","B.2",1,0,"Certain"
"3",73.62,0,26.38,"Growth","Open ocean","Future climate","B.2",1,1,"Autumn primary production -> Marine snow"
"4",88.42,0,11.58,"Survival","Open ocean","Future climate","B.2",1,1,"Autumn primary production -> Marine snow"
"5",73.8,0,26.2,"Growth","Open ocean","Future climate","B.2",1,2,"Autumn primary production -> Sea-ice algae"
"6",87.98,0,12.02,"Survival","Open ocean","Future climate","B.2",1,2,"Autumn primary production -> Sea-ice algae"
"7",74.5,0.02,25.48,"Growth","Open ocean","Future climate","B.2",1,3,"Glacial melt -> Nutrients"
"8",88.7,0,11.3,"Survival","Open ocean","Future climate","B.2",1,3,"Glacial melt -> Nutrients"
"9",74.38,0,25.62,"Growth","Open ocean","Future climate","B.2",1,4,"Ice terraces -* Predation risk"
"10",88.68,0,11.32,"Survival","Open ocean","Future climate","B.2",1,4,"Ice terraces -* Predation risk"
"11",76,0,24,"Growth","Open ocean","Future climate","B.2",1,5,"POM -* Small copepods"
"12",87.58,0,12.42,"Survival","Open ocean","Future climate","B.2",1,5,"POM -* Small copepods"
"13",77.34,0,22.66,"Growth","Open ocean","Future climate","B.2",1,6,"Small copepods -> POM"
"14",87.64,0,12.36,"Survival","Open ocean","Future climate","B.2",1,6,"Small copepods -> POM"
"15",74.28,0,25.72,"Growth","Open ocean","Future climate","B.2",2,0,"Certain"
"16",89.62,0,10.38,"Survival","Open ocean","Future climate","B.2",2,0,"Certain"
"17",73.24,0,26.76,"Growth","Open ocean","Future climate","B.2",2,1,"Autumn primary production -> Marine snow"
"18",88.08,0,11.92,"Survival","Open ocean","Future climate","B.2",2,1,"Autumn primary production -> Marine snow"
"19",73.38,0,26.62,"Growth","Open ocean","Future climate","B.2",2,2,"Autumn primary production -> Sea-ice algae"
"20",88.36,0,11.64,"Survival","Open ocean","Future climate","B.2",2,2,"Autumn primary production -> Sea-ice algae"
"21",73.42,0,26.58,"Growth","Open ocean","Future climate","B.2",2,3,"Glacial melt -> Nutrients"
"22",88.1,0,11.9,"Survival","Open ocean","Future climate","B.2",2,3,"Glacial melt -> Nutrients"
"23",73.54,0,26.46,"Growth","Open ocean","Future climate","B.2",2,4,"Ice terraces -* Predation risk"
"24",87.78,0,12.22,"Survival","Open ocean","Future climate","B.2",2,4,"Ice terraces -* Predation risk"
"25",74.36,0,25.64,"Growth","Open ocean","Future climate","B.2",2,5,"Small copepods -> POM"
"26",89.94,0,10.06,"Survival","Open ocean","Future climate","B.2",2,5,"Small copepods -> POM"
"27",79,0,21,"Growth","Open ocean","Future climate","B.2",2,6,"POM -* Small copepods"
"28",89.08,0,10.92,"Survival","Open ocean","Future climate","B.2",2,6,"POM -* Small copepods"
"29",73.32,0,26.68,"Growth","Open ocean","Future climate","B.2",3,0,"Certain"
"30",88.74,0,11.26,"Survival","Open ocean","Future climate","B.2",3,0,"Certain"
"31",73.98,0,26.02,"Growth","Open ocean","Future climate","B.2",3,1,"Autumn primary production -> Marine snow"
"32",88.36,0,11.64,"Survival","Open ocean","Future climate","B.2",3,1,"Autumn primary production -> Marine snow"
"33",73.54,0,26.46,"Growth","Open ocean","Future climate","B.2",3,2,"Autumn primary production -> Sea-ice algae"
"34",88.56,0,11.44,"Survival","Open ocean","Future climate","B.2",3,2,"Autumn primary production -> Sea-ice algae"
"35",74.46,0,25.54,"Growth","Open ocean","Future climate","B.2",3,3,"Glacial melt -> Nutrients"
"36",88.7,0,11.3,"Survival","Open ocean","Future climate","B.2",3,3,"Glacial melt -> Nutrients"
"37",72.88,0,27.12,"Growth","Open ocean","Future climate","B.2",3,4,"Small copepods -> POM"
"38",88.84,0,11.16,"Survival","Open ocean","Future climate","B.2",3,4,"Small copepods -> POM"
"39",74.3,0,25.7,"Growth","Open ocean","Future climate","B.2",3,5,"Ice terraces -* Predation risk"
"40",89.28,0,10.72,"Survival","Open ocean","Future climate","B.2",3,5,"Ice terraces -* Predation risk"
"41",78.06,0,21.94,"Growth","Open ocean","Future climate","B.2",3,6,"POM -* Small copepods"
"42",87.92,0,12.08,"Survival","Open ocean","Future climate","B.2",3,6,"POM -* Small copepods"
"43",73.08,0,26.92,"Growth","Open ocean","Future climate","B.2",4,0,"Certain"
"44",88.82,0,11.18,"Survival","Open ocean","Future climate","B.2",4,0,"Certain"
"45",74.6,0,25.4,"Growth","Open ocean","Future climate","B.2",4,1,"Autumn primary production -> Marine snow"
"46",88.94,0,11.06,"Survival","Open ocean","Future climate","B.2",4,1,"Autumn primary production -> Marine snow"
"47",74.04,0,25.96,"Growth","Open ocean","Future climate","B.2",4,2,"Autumn primary production -> Sea-ice algae"
"48",88.14,0,11.86,"Survival","Open ocean","Future climate","B.2",4,2,"Autumn primary production -> Sea-ice algae"
"49",74.8,0,25.2,"Growth","Open ocean","Future climate","B.2",4,3,"Small copepods -> POM"
"50",90.3,0,9.7,"Survival","Open ocean","Future climate","B.2",4,3,"Small copepods -> POM"
"51",74.96,0,25.04,"Growth","Open ocean","Future climate","B.2",4,4,"Glacial melt -> Nutrients"
"52",89.62,0,10.38,"Survival","Open ocean","Future climate","B.2",4,4,"Glacial melt -> Nutrients"
"53",74.06,0,25.94,"Growth","Open ocean","Future climate","B.2",4,5,"Ice terraces -* Predation risk"
"54",89.26,0,10.74,"Survival","Open ocean","Future climate","B.2",4,5,"Ice terraces -* Predation risk"
"55",78.56,0,21.44,"Growth","Open ocean","Future climate","B.2",4,6,"POM -* Small copepods"
"56",88.7,0,11.3,"Survival","Open ocean","Future climate","B.2",4,6,"POM -* Small copepods"
"57",73.28,0,26.72,"Growth","Open ocean","Future climate","B.2",5,0,"Certain"
"58",88.46,0,11.54,"Survival","Open ocean","Future climate","B.2",5,0,"Certain"
"59",74.2,0,25.8,"Growth","Open ocean","Future climate","B.2",5,1,"Autumn primary production -> Marine snow"
