"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"1",50.8,0,49.2,"Growth","Open ocean","Future climate","B",1,0,"Certain"
"2",65.28,0,34.72,"Survival","Open ocean","Future climate","B",1,0,"Certain"
"3",49.58,0,50.42,"Growth","Open ocean","Future climate","B",1,1,"Autumn primary production -> Marine snow"
"4",63.72,0,36.28,"Survival","Open ocean","Future climate","B",1,1,"Autumn primary production -> Marine snow"
"5",54.16,0,45.84,"Growth","Open ocean","Future climate","B",1,2,"Autumn primary production -> Sea-ice algae"
"6",66.02,0,33.98,"Survival","Open ocean","Future climate","B",1,2,"Autumn primary production -> Sea-ice algae"
"7",54.88,0,45.12,"Growth","Open ocean","Future climate","B",1,3,"Glacial melt -> Nutrients"
"8",66.9,0,33.1,"Survival","Open ocean","Future climate","B",1,3,"Glacial melt -> Nutrients"
"9",54.3,0,45.7,"Growth","Open ocean","Future climate","B",1,4,"Ice terraces -* Predation risk"
"10",63.8,0,36.2,"Survival","Open ocean","Future climate","B",1,4,"Ice terraces -* Predation risk"
"11",55.82,0,44.18,"Growth","Open ocean","Future climate","B",1,5,"POM -* Small copepods"
"12",64.1,0,35.9,"Survival","Open ocean","Future climate","B",1,5,"POM -* Small copepods"
"13",53.82,0,46.18,"Growth","Open ocean","Future climate","B",1,6,"Small copepods -> POM"
"14",62.12,0,37.88,"Survival","Open ocean","Future climate","B",1,6,"Small copepods -> POM"
"15",51.56,0,48.44,"Growth","Open ocean","Future climate","B",2,0,"Certain"
"16",65.36,0,34.64,"Survival","Open ocean","Future climate","B",2,0,"Certain"
"17",49.52,0,50.48,"Growth","Open ocean","Future climate","B",2,1,"Autumn primary production -> Marine snow"
"18",63.24,0,36.76,"Survival","Open ocean","Future climate","B",2,1,"Autumn primary production -> Marine snow"
"19",54.8,0,45.2,"Growth","Open ocean","Future climate","B",2,2,"Autumn primary production -> Sea-ice algae"
"20",67.04,0,32.96,"Survival","Open ocean","Future climate","B",2,2,"Autumn primary production -> Sea-ice algae"
"21",53.5,0,46.5,"Growth","Open ocean","Future climate","B",2,3,"Glacial melt -> Nutrients"
"22",65.6,0,34.4,"Survival","Open ocean","Future climate","B",2,3,"Glacial melt -> Nutrients"
"23",53.1,0,46.9,"Growth","Open ocean","Future climate","B",2,4,"Ice terraces -* Predation risk"
"24",62.78,0,37.22,"Survival","Open ocean","Future climate","B",2,4,"Ice terraces -* Predation risk"
"25",52.56,0,47.44,"Growth","Open ocean","Future climate","B",2,5,"Small copepods -> POM"
"26",61.96,0,38.04,"Survival","Open ocean","Future climate","B",2,5,"Small copepods -> POM"
"27",54.86,0,45.14,"Growth","Open ocean","Future climate","B",2,6,"POM -* Small copepods"
"28",63.12,0,36.88,"Survival","Open ocean","Future climate","B",2,6,"POM -* Small copepods"
"29",50.56,0,49.44,"Growth","Open ocean","Future climate","B",3,0,"Certain"
"30",65.12,0,34.88,"Survival","Open ocean","Future climate","B",3,0,"Certain"
"31",50.4,0,49.6,"Growth","Open ocean","Future climate","B",3,1,"Autumn primary production -> Marine snow"
"32",63.84,0,36.16,"Survival","Open ocean","Future climate","B",3,1,"Autumn primary production -> Marine snow"
"33",54.46,0,45.54,"Growth","Open ocean","Future climate","B",3,2,"Autumn primary production -> Sea-ice algae"
"34",66.46,0,33.54,"Survival","Open ocean","Future climate","B",3,2,"Autumn primary production -> Sea-ice algae"
"35",55.08,0,44.92,"Growth","Open ocean","Future climate","B",3,3,"Glacial melt -> Nutrients"
"36",66.6,0,33.4,"Survival","Open ocean","Future climate","B",3,3,"Glacial melt -> Nutrients"
"37",51.88,0,48.12,"Growth","Open ocean","Future climate","B",3,4,"Small copepods -> POM"
"38",63.96,0,36.04,"Survival","Open ocean","Future climate","B",3,4,"Small copepods -> POM"
"39",53.94,0,46.06,"Growth","Open ocean","Future climate","B",3,5,"Ice terraces -* Predation risk"
"40",62.76,0,37.24,"Survival","Open ocean","Future climate","B",3,5,"Ice terraces -* Predation risk"
"41",54.6,0,45.4,"Growth","Open ocean","Future climate","B",3,6,"POM -* Small copepods"
"42",62.84,0,37.16,"Survival","Open ocean","Future climate","B",3,6,"POM -* Small copepods"
"43",50.56,0,49.44,"Growth","Open ocean","Future climate","B",4,0,"Certain"
"44",64.96,0,35.04,"Survival","Open ocean","Future climate","B",4,0,"Certain"
"45",49.82,0,50.18,"Growth","Open ocean","Future climate","B",4,1,"Autumn primary production -> Marine snow"
"46",64.24,0,35.76,"Survival","Open ocean","Future climate","B",4,1,"Autumn primary production -> Marine snow"
"47",54.24,0,45.76,"Growth","Open ocean","Future climate","B",4,2,"Autumn primary production -> Sea-ice algae"
"48",66.78,0,33.22,"Survival","Open ocean","Future climate","B",4,2,"Autumn primary production -> Sea-ice algae"
"49",52.76,0,47.24,"Growth","Open ocean","Future climate","B",4,3,"Small copepods -> POM"
"50",63.94,0,36.06,"Survival","Open ocean","Future climate","B",4,3,"Small copepods -> POM"
"51",52.24,0,47.76,"Growth","Open ocean","Future climate","B",4,4,"Glacial melt -> Nutrients"
"52",64.28,0,35.72,"Survival","Open ocean","Future climate","B",4,4,"Glacial melt -> Nutrients"
"53",51.74,0,48.26,"Growth","Open ocean","Future climate","B",4,5,"Ice terraces -* Predation risk"
"54",62.48,0,37.52,"Survival","Open ocean","Future climate","B",4,5,"Ice terraces -* Predation risk"
"55",54.46,0,45.54,"Growth","Open ocean","Future climate","B",4,6,"POM -* Small copepods"
"56",61.4,0,38.6,"Survival","Open ocean","Future climate","B",4,6,"POM -* Small copepods"
"57",49.94,0,50.06,"Growth","Open ocean","Future climate","B",5,0,"Certain"
"58",64.58,0,35.42,"Survival","Open ocean","Future climate","B",5,0,"Certain"
