"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"1",67.66,0,32.34,"Growth","Open ocean","Future climate","C",1,0,"Certain"
"2",50.52,0,49.48,"Survival","Open ocean","Future climate","C",1,0,"Certain"
"3",66.82,0,33.18,"Growth","Open ocean","Future climate","C",1,1,"Autumn primary production -> Marine snow"
"4",52.28,0,47.72,"Survival","Open ocean","Future climate","C",1,1,"Autumn primary production -> Marine snow"
"5",63.16,0,36.84,"Growth","Open ocean","Future climate","C",1,2,"Autumn primary production -> Sea-ice algae"
"6",50.26,0,49.74,"Survival","Open ocean","Future climate","C",1,2,"Autumn primary production -> Sea-ice algae"
"7",64.14,0,35.86,"Growth","Open ocean","Future climate","C",1,3,"Glacial melt -> Nutrients"
"8",50.3,0,49.7,"Survival","Open ocean","Future climate","C",1,3,"Glacial melt -> Nutrients"
"9",67.78,0,32.22,"Growth","Open ocean","Future climate","C",1,4,"Ice terraces -* Predation risk"
"10",33.46,0,66.54,"Survival","Open ocean","Future climate","C",1,4,"Ice terraces -* Predation risk"
"11",64.44,0,35.56,"Growth","Open ocean","Future climate","C",1,5,"POM -* Small copepods"
"12",31.46,0,68.54,"Survival","Open ocean","Future climate","C",1,5,"POM -* Small copepods"
"13",64.3,0,35.7,"Growth","Open ocean","Future climate","C",1,6,"Small copepods -> POM"
"14",33.32,0,66.68,"Survival","Open ocean","Future climate","C",1,6,"Small copepods -> POM"
"15",67.66,0,32.34,"Growth","Open ocean","Future climate","C",2,0,"Certain"
"16",52.06,0,47.94,"Survival","Open ocean","Future climate","C",2,0,"Certain"
"17",66.06,0,33.94,"Growth","Open ocean","Future climate","C",2,1,"Autumn primary production -> Marine snow"
"18",52.04,0,47.96,"Survival","Open ocean","Future climate","C",2,1,"Autumn primary production -> Marine snow"
"19",63.42,0,36.58,"Growth","Open ocean","Future climate","C",2,2,"Autumn primary production -> Sea-ice algae"
"20",49,0,51,"Survival","Open ocean","Future climate","C",2,2,"Autumn primary production -> Sea-ice algae"
"21",64.06,0,35.94,"Growth","Open ocean","Future climate","C",2,3,"Glacial melt -> Nutrients"
"22",50.08,0,49.92,"Survival","Open ocean","Future climate","C",2,3,"Glacial melt -> Nutrients"
"23",67.3,0,32.7,"Growth","Open ocean","Future climate","C",2,4,"Ice terraces -* Predation risk"
"24",32.62,0,67.38,"Survival","Open ocean","Future climate","C",2,4,"Ice terraces -* Predation risk"
"25",70.44,0,29.56,"Growth","Open ocean","Future climate","C",2,5,"Small copepods -> POM"
