"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"1",62.92,0.02,37.06,"Growth","Open ocean","Future climate","D",1,0,"Certain"
"2",75.2,0,24.8,"Survival","Open ocean","Future climate","D",1,0,"Certain"
"3",62.46,0,37.54,"Growth","Open ocean","Future climate","D",1,1,"Autumn primary production -> Marine snow"
"4",74.72,0,25.28,"Survival","Open ocean","Future climate","D",1,1,"Autumn primary production -> Marine snow"
"5",66.82,0,33.18,"Growth","Open ocean","Future climate","D",1,2,"Autumn primary production -> Sea-ice algae"
"6",77.7,0,22.3,"Survival","Open ocean","Future climate","D",1,2,"Autumn primary production -> Sea-ice algae"
"7",66.38,0,33.62,"Growth","Open ocean","Future climate","D",1,3,"Glacial melt -> Nutrients"
"8",76.46,0,23.54,"Survival","Open ocean","Future climate","D",1,3,"Glacial melt -> Nutrients"
"9",68.66,0,31.34,"Growth","Open ocean","Future climate","D",1,4,"Ice terraces -* Predation risk"
"10",52.42,0,47.58,"Survival","Open ocean","Future climate","D",1,4,"Ice terraces -* Predation risk"
"11",67.52,0,32.48,"Growth","Open ocean","Future climate","D",1,5,"POM -* Small copepods"
"12",51,0,49,"Survival","Open ocean","Future climate","D",1,5,"POM -* Small copepods"
"13",71.04,0,28.96,"Growth","Open ocean","Future climate","D",1,6,"Small copepods -> POM"
"14",51.7,0,48.3,"Survival","Open ocean","Future climate","D",1,6,"Small copepods -> POM"
"15",61.58,0,38.42,"Growth","Open ocean","Future climate","D",2,0,"Certain"
"16",75.04,0,24.96,"Survival","Open ocean","Future climate","D",2,0,"Certain"
"17",62.6,0,37.4,"Growth","Open ocean","Future climate","D",2,1,"Autumn primary production -> Marine snow"
"18",75.44,0,24.56,"Survival","Open ocean","Future climate","D",2,1,"Autumn primary production -> Marine snow"
"19",66.22,0,33.78,"Growth","Open ocean","Future climate","D",2,2,"Autumn primary production -> Sea-ice algae"
"20",76.66,0,23.34,"Survival","Open ocean","Future climate","D",2,2,"Autumn primary production -> Sea-ice algae"
"21",64.42,0,35.58,"Growth","Open ocean","Future climate","D",2,3,"Glacial melt -> Nutrients"
"22",75.32,0,24.68,"Survival","Open ocean","Future climate","D",2,3,"Glacial melt -> Nutrients"
"23",69.42,0,30.58,"Growth","Open ocean","Future climate","D",2,4,"Ice terraces -* Predation risk"
"24",51.36,0,48.64,"Survival","Open ocean","Future climate","D",2,4,"Ice terraces -* Predation risk"
"25",73.98,0,26.02,"Growth","Open ocean","Future climate","D",2,5,"Small copepods -> POM"
"26",55.38,0,44.62,"Survival","Open ocean","Future climate","D",2,5,"Small copepods -> POM"
"27",69.36,0,30.64,"Growth","Open ocean","Future climate","D",2,6,"POM -* Small copepods"
"28",53.24,0,46.76,"Survival","Open ocean","Future climate","D",2,6,"POM -* Small copepods"
"29",61.1,0,38.9,"Growth","Open ocean","Future climate","D",3,0,"Certain"
"30",74.28,0,25.72,"Survival","Open ocean","Future climate","D",3,0,"Certain"
"31",64.16,0,35.84,"Growth","Open ocean","Future climate","D",3,1,"Autumn primary production -> Marine snow"
"32",76,0,24,"Survival","Open ocean","Future climate","D",3,1,"Autumn primary production -> Marine snow"
"33",66.58,0,33.42,"Growth","Open ocean","Future climate","D",3,2,"Autumn primary production -> Sea-ice algae"
"34",77.24,0,22.76,"Survival","Open ocean","Future climate","D",3,2,"Autumn primary production -> Sea-ice algae"
