"","Node","glacialMeltInModel","Latitude","Depth","Negative","No.Change","Positive","Net Prediction"
"1","Growth",NA,"Negative","No Change",17,0,83,66
"2","Survival",NA,"Negative","No Change",17,0.02,82.98,65.98
"3","DMS",NA,"Negative","No Change",15.68,0,84.32,68.64
"4","Ice terraces",NA,"Negative","No Change",0,100,0,0
"5","Large pelagic algae",NA,"Negative","No Change",43.72,0,56.28,12.56
"6","Light",NA,"Negative","No Change",0.92,0,99.08,98.16
"7","Marine snow",NA,"Negative","No Change",53.36,0.02,46.62,-6.74
"8","MLD",NA,"Negative","No Change",0,100,0,0
"9","Nutrients",NA,"Negative","No Change",0,100,0,0
"10","Other grazers (competition)",NA,"Negative","No Change",9.8,0,90.2,80.4
"11","POM",NA,"Negative","No Change",35.84,0,64.16,28.32
"12","Predation risk",NA,"Negative","No Change",17,0.12,82.88,65.88
"13","Sea-ice algae",NA,"Negative","No Change",7.68,0,92.32,84.64
"14","Sea-ice concentration",NA,"Negative","No Change",0,100,0,0
"15","Sea-ice convergence",NA,"Negative","No Change",0,100,0,0
"16","Sea-ice thickness",NA,"Negative","No Change",0,100,0,0
"17","Small copepods",NA,"Negative","No Change",34.64,0.02,65.34,30.7
"18","Small pelagic algae",NA,"Negative","No Change",21.82,0,78.18,56.36
"19","Snow",NA,"Negative","No Change",0,100,0,0
"20","Depth",NA,"Negative","No Change",0,100,0,0
"21","Latitude",NA,"Negative","No Change",100,0,0,-100
"22","Autumn primary production",NA,"Negative","No Change",0,100,0,0
"23","Temperature",NA,"Negative","No Change",0,100,0,0
"24","Wind stress",NA,"Negative","No Change",0,100,0,0
"25","Growth",NA,"Positive","No Change",83,0,17,-66
"26","Survival",NA,"Positive","No Change",82.98,0.02,17,-65.98
"27","DMS",NA,"Positive","No Change",84.32,0,15.68,-68.64
"28","Ice terraces",NA,"Positive","No Change",0,100,0,0
"29","Large pelagic algae",NA,"Positive","No Change",56.28,0,43.72,-12.56
"30","Light",NA,"Positive","No Change",99.08,0,0.92,-98.16
"31","Marine snow",NA,"Positive","No Change",46.62,0.02,53.36,6.74
"32","MLD",NA,"Positive","No Change",0,100,0,0
"33","Nutrients",NA,"Positive","No Change",0,100,0,0
"34","Other grazers (competition)",NA,"Positive","No Change",90.2,0,9.8,-80.4
"35","POM",NA,"Positive","No Change",64.16,0,35.84,-28.32
"36","Predation risk",NA,"Positive","No Change",82.88,0.12,17,-65.88
"37","Sea-ice algae",NA,"Positive","No Change",92.32,0,7.68,-84.64
"38","Sea-ice concentration",NA,"Positive","No Change",0,100,0,0
"39","Sea-ice convergence",NA,"Positive","No Change",0,100,0,0
"40","Sea-ice thickness",NA,"Positive","No Change",0,100,0,0
"41","Small copepods",NA,"Positive","No Change",65.34,0.02,34.64,-30.7
"42","Small pelagic algae",NA,"Positive","No Change",78.18,0,21.82,-56.36
"43","Snow",NA,"Positive","No Change",0,100,0,0
"44","Depth",NA,"Positive","No Change",0,100,0,0
"45","Latitude",NA,"Positive","No Change",0,0,100,100
"46","Autumn primary production",NA,"Positive","No Change",0,100,0,0
"47","Temperature",NA,"Positive","No Change",0,100,0,0
"48","Wind stress",NA,"Positive","No Change",0,100,0,0
"49","Growth","+ Glacial melt","No Change","Negative",17.6,0,82.4,64.8
"50","Survival","+ Glacial melt","No Change","Negative",17.6,0,82.4,64.8
"51","DMS","+ Glacial melt","No Change","Negative",37.4,0,62.6,25.2
"52","Glacial melt","+ Glacial melt","No Change","Negative",0,100,0,0
"53","Ice terraces","+ Glacial melt","No Change","Negative",0,100,0,0
"54","Large pelagic algae","+ Glacial melt","No Change","Negative",61.08,0,38.92,-22.16
"55","Light","+ Glacial melt","No Change","Negative",62.6,0,37.4,-25.2
"56","Marine snow","+ Glacial melt","No Change","Negative",87.96,0,12.04,-75.92
"57","MLD","+ Glacial melt","No Change","Negative",0,100,0,0
"58","Nutrients","+ Glacial melt","No Change","Negative",0,0,100,100
"59","Other grazers (competition)","+ Glacial melt","No Change","Negative",39.24,0,60.76,21.52
"60","POM","+ Glacial melt","No Change","Negative",26.04,0.02,73.94,47.9
"61","Predation risk","+ Glacial melt","No Change","Negative",17.6,0,82.4,64.8
"62","Sea-ice algae","+ Glacial melt","No Change","Negative",21.68,0,78.32,56.64
"63","Sea-ice concentration","+ Glacial melt","No Change","Negative",0,100,0,0
"64","Sea-ice convergence","+ Glacial melt","No Change","Negative",0,100,0,0
"65","Sea-ice thickness","+ Glacial melt","No Change","Negative",0,100,0,0
"66","Small copepods","+ Glacial melt","No Change","Negative",54.38,0,45.62,-8.76
"67","Small pelagic algae","+ Glacial melt","No Change","Negative",29.32,0,70.68,41.36
"68","Snow","+ Glacial melt","No Change","Negative",0,100,0,0
"69","Depth","+ Glacial melt","No Change","Negative",100,0,0,-100
"70","Latitude","+ Glacial melt","No Change","Negative",0,100,0,0
"71","Autumn primary production","+ Glacial melt","No Change","Negative",0,100,0,0
"72","Temperature","+ Glacial melt","No Change","Negative",0,100,0,0
"73","Wind stress","+ Glacial melt","No Change","Negative",0,100,0,0
"74","Growth","+ Glacial melt","Negative","Negative",15.22,0,84.78,69.56
"75","Survival","+ Glacial melt","Negative","Negative",15.22,0,84.78,69.56
